Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,Author ID,Location,Profile URL,Profile Photo,URL,
Carol J.,2/21/16 3:24,0,1,1,1,4,"Very simple menu, one page. We shared the artichoke hearts which were amazing. Then I had the trout and my husband had the duck. Both appeared to be small portions but we were really full due to the richness of the ingredients. My trout was nicely cooked with crispy skin. 
Clientele was a bit older but classy!",201,43,kVg6QISWeyiByaYTxFNzDw,"Alexandria, VA",https://www.yelp.com/user_details?userid=kVg6QISWeyiByaYTxFNzDw,https://s3-media0.fl.yelpcdn.com/photo/aRGeOhUGLWGQabKGkm_mug/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Cheng X.,6/2/16 15:10,0,4,4,1,3,"My boyfriend took me here for my birthday since I've always wanted to try this place. The atmosphere is...interesting. I get that they wanted to evoke a feeling of being in a train, but the place is cramped and we sat at a table downstairs where it was extremely dark. Luckily we came early so there were only one or two other occupied tables and thus not as noisy as some of the other reviews stated. We shared duck, lamb and ravioli dishes and for the most part I didn't really care for them - they were either a little salty or just alright. We got creme brulee for dessert and that was great but not really different than creme brulee in other places. I still want to try their late night menu but will probably go elsewhere for a nice dinner.",453,949,8HGVC7440c5lkB0nl8Av9Q,"Arlington, VA",https://www.yelp.com/user_details?userid=8HGVC7440c5lkB0nl8Av9Q,https://s3-media0.fl.yelpcdn.com/photo/Bjh3NVatB7sLqFLqfLnA0Q/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Erica R.,7/20/16 18:25,0,0,0,1,5,"C&O is a lovely restaurant.  I dined here for my birthday and it was a very special occasion.  I love the dark, romantic atmosphere.  The brick walls give the restaurant a classic sophistication and makes the building feel very historical.  Ad even though it was somewhat dark, the restaurant and staff were all very warm and inviting. 

Parking can be an ordeal so plan ahead to allow yourself time to park if you have a reservation.  The service is excellent and the drink and food menus are expansive and offer lots of amazing options.  For my birthday, they provided a complimentary dessert and it was the perfect touch to end a great evening.  I really enjoy C&O and try to stop in each time I visit Charlottesville.",693,572,MPiLBHXnUiWvTQRuh36TOQ,"Pass Christian, MS",https://www.yelp.com/user_details?userid=MPiLBHXnUiWvTQRuh36TOQ,https://s3-media0.fl.yelpcdn.com/photo/Qw3Z__uh4T5rLpQ9dSkYxw/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
S S.,11/3/16 15:17,0,0,0,1,5,"The food though small portioned was gourmet and wonderful. 
The Decour of the restaurant is unique and comfortable. The wait staff was warm and friendly as well as knowledgeable on every ingredient of every dish and even threw in some Hollywood and television trivia when asked!!!!
Vegetable soup was soup-er!!!

While not inexpensive the experience was well worth it.
What a special occasion or a good night out for find dining I would tell all my friends to meet me at C & O!!",128,39,ozYUJ404R2f00rQZdiG1jQ,"Washington, DC",https://www.yelp.com/user_details?userid=ozYUJ404R2f00rQZdiG1jQ,https://s3-media0.fl.yelpcdn.com/photo/H8g8MihBUsEcggU5gp0dew/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Doug T.,11/21/16 15:19,0,0,0,1,5,"A couple of years ago we went to C&O. Seemed at the time I would have said ""Food's overrated but has great atmosphere."" Last night really changed my mind. We had several excellent dishes that were simply spot on. They must have hired a new chef or something!

My favorite dishes were the duck breast with a blueberry reduction served with mashed sweet potatoes under a brussel sprout slaw. The gnocci with duck confit and butternut squash was also top-notch. For dessert, I had an amazing sticky toffee pudding topped with marscapone. I thought I wouldn't be able to eat dessert, but I ate every bite.

Given the amazing food AND intimate atmosphere, C&O now might be my favorite date restaurant!",17,34,xeWt8nl-avLHjVvkrqFBig,"Charlottesville, VA",https://www.yelp.com/user_details?userid=xeWt8nl-avLHjVvkrqFBig,https://s3-media0.fl.yelpcdn.com/photo/1-1zg3t2GA41P6Bv4pt8cQ/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Bao Anh N.,12/7/16 7:21,0,0,0,0,5,"Came here on a Tuesday evening for dinner. We made reservations for a party of 6 at 6:30 pm. We were seated promptly and our coats were checked for us. I was given a ticket for my coat check and appreciated it as I like it when a restaurant minds the small details!

The food was outstanding. Half of our party ordered the Chesapeake stripe bass which was so lovely and tender. The roasted mushrooms that accompany the bass are buttery and delicious! The lemon caper sauce has slivers of lemon that give you a surprising tart bite that can be a bit bright if you aren't expecting it.

Some others ordered the steelhead trout and really enjoyed it as well.

Dessert was very satisfying. The creme brûlée was rich and smooth. The chocolate bread pudding was dense, rich, and moist. 

The upstairs space where we dined seems small and intimate and I can imagine how small it might seem on a busy weekend night. If you can, try to come out on a weekday as it is a little slower and pleasant! Wait staff was very attentive and polite. Would love to come again",194,190,xykQzjuIJAnJ_nCE9iUWxw,"Rockville, MD",https://www.yelp.com/user_details?userid=xykQzjuIJAnJ_nCE9iUWxw,https://s3-media0.fl.yelpcdn.com/photo/dGzGY3gLJi0mGz9dNL4W3w/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Ana H.,1/18/17 17:21,1,0,0,5,5,"Definitely my favorite spot in cville for both fine dining French food and for a rustic cozy bar. I discovered this place about 10 years ago and it's one of the few places that's retained the quality in food over the years.
Upstairs is everything you'd think of with fine dining--white table cloth, full table setting, etc. The place to bring Mom for her birthday. 
Downstairs is dimly lit, rustic, lively. My spot for a cocktail with friends. 
Highly recommend the Steak chinois. Cooked medium rare and with mashed potatoes to die for. Also great classic cocktails---best Old Fashioned in town IMO.",11,1,jNzhKweuHtiFLXehtqt3aA,"Crozet, VA",https://www.yelp.com/user_details?userid=jNzhKweuHtiFLXehtqt3aA,https://s3-media0.fl.yelpcdn.com/photo/LIkZGlzzPGrWMb1W2-YcOQ/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Sarah K.,1/24/17 2:32,0,0,0,1,4,"Had a wonderful date night here recently! The upstairs is incredibly pretty and quiet, so it's good for conversations but not awkward. 

The waiter was really helpful in suggesting drinks (so sad because I can't remember the name of the wine we had!) and food without being overly attentive which we appreciated a lot. My favorite thing we tried was the beef carpaccio, which is so, so, so good. You should try it, seriously. 

The complementary bread and butter were also incredible. My boyfriend got the lamb and gnocchi dish which was also very good! The lamb wasn't gamey tasting at all, which I liked. I got their signature item, the thinly sliced steak. The mashed potatoes it came with were to die for, but the sauce on the whole dish was a little too salty for me. 

For dessert we had the chocolate bread pudding - again, amazing. I will be back! Definitely recommend! Also would suggest the upstairs for a more intimate setting and downstairs for less!",125,759,N_QjSEgMpqJk7nwG2GXXTg,"Charlottesville, VA",https://www.yelp.com/user_details?userid=N_QjSEgMpqJk7nwG2GXXTg,https://s3-media0.fl.yelpcdn.com/photo/DHKGJKSYybRzHWsL1nPwng/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Greg H.,4/13/17 1:41,0,0,0,1,5,"An amazing gem in Charlottesville. We feasted, and the staff were friendly, helpful and attentive. It was tough to decide because the menu sounded so tasty. We ordered artichoke hearts that were melt in your mouth good, some local green onion in a cheese sauce that was recommended, it tasted like a green onion asparagus hybrid and was delicious. For the main my daughter had the child's mac & cheese she ate every bit and raved. We both orders the steak chinoise, soo good, loved the sauce and mash potatoes. We should have stopped, but opted for desserts, all I can say is wow!! My daughter did take pictures though, see fit yourself. If your in or around Cville make the stop at C & O.",42,16,nbSNG_wGNPtduf5Se6bTsg,"Oceanside, CA",https://www.yelp.com/user_details?userid=nbSNG_wGNPtduf5Se6bTsg,https://s3-media0.fl.yelpcdn.com/photo/qdlR0glF_j81I6t9De_Cpg/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Elle B.,5/16/17 2:23,0,0,0,0,5,"I love this place. I've been coming here for the sweetbreads and a glass of Chotes du Rhone for the past 22 years, any time I come to Charlottesville. 
The food here has been foodie fodder since long before ""foodie"" became a household term. 
If you've ever heard that there are four glasses of wine in a bottle... but gotten glasses of wine that looked like they were a 1/6 or 1/7 of a bottle, the pour here will reinstill your faith is the old rule of thumb.",8,2,bqYebNqjFdq-McMixsjfmA,"Washington, DC",https://www.yelp.com/user_details?userid=bqYebNqjFdq-McMixsjfmA,https://s3-media0.fl.yelpcdn.com/photo/-rrlOlJuLA9v5l1WP16Ymg/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Jessi H.,6/26/17 0:19,0,2,2,0,5,"Don't let the old Pepsi sign out front fool you!

The dining room is cozy and intimate. Service was top-notch; knowledgeable and warm. They have an extensive wine list and a great selection of wines available by the glass in case a bottle is too big of a commitment (as it was for us). 

We started with champagne and one of the specials, lobster gnocchi; then we switched to red wine and I ordered the steak chinoise while my husband opted for the duck breast. We were indecisive when the dessert menu came out, so we ordered both the chocolate bread pudding (on the strength of our server's recommendation) and the chocolate mousse. 

Every dish was fantastic -- the gnocchi were pillowy perfection, my steak was melt-in-your-mouth-tender with an incredible pan sauce, and the frozen peanut nougat with the dessert course blew me away. 

From beginning to end, this meal was a real treat and made for a happy birthday, indeed. I won't hesitate to return the next time I'm in Charlottesville and looking for a special meal.",54,20,DM94XTJAjWR92kljgzwH4Q,"Charlotte, NC",https://www.yelp.com/user_details?userid=DM94XTJAjWR92kljgzwH4Q,https://s3-media0.fl.yelpcdn.com/photo/E-leAJ4K5j7CaLzppDIWaQ/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Kelly N.,7/29/17 20:35,1,1,1,0,3,"WARNING: If you get the pork tacos, they are EXTREMELY spicy.

Ok, now back to this regularly scheduled review. Let me give you some context to that first statement and start from the beginning. I was visiting in the Charlottesville. area and had been bar hoping all night in dire need of a meal (I had skipped dinner. When we finally got the opportunity to find a place to sit down for a meal at midnight, just about every place was closed. One of the servers at another restaurant recommended that the best place to go for late night for was C&O and she highly recommended the pork tacos. I mean HIGHLY recommended them. So what's a girl to do? Off we go to find C&O to get ourselves some pork tacos.

We finally find it down the strip and were seated at the bottom floor of the restaurant near the bar. Seems as if they were going to be closely soon, too, so we needed to get our orders in quickly. Two of us at the table went with the pork tacos (we do as were told), and someone else went with the cheeseburger. The late night bar menu is really limited, so there wasn't much else to select from that could opt as a meal.

The pork tacos finally arrive and in my hazy, tipsy state, I go head first! I take my first bite and get slammed with a mouthful of flavors. Overall, the taco was really delicious, but I couldn't grab my glass of water fast enough. These are some SERIOUSLY spicy tacos. I'm not one to shy away from spice, I like it somewhere in the middle between getting my tongue burnt off and feeling the tingle. I was truly shocked at how hot these tacos were and I had no warning signs to let me know. The woman who recommended the place/tacos didn't mention anything. The waiter who took my order didn't mention anything. Most of all, the menu didn't say a single mention that these tacos were spicy. Nothing. 

Overall, I was only able to get through 2 of the 3 tacos before my mouth had to call it quits. I wouldn't say I left hungry, but I definitely didn't leave satisfied. I mentioned before, the tacos actually had the potential to be really delicious if they weren't so overpowered by the unexpected spice factor.

Ok, rant over, but just a heads up for anyone who orders this dish - you better like your tacos spicy.",129,141,IsY7gaSF7Xc2S3tDOu8H7Q,"New York, NY",https://www.yelp.com/user_details?userid=IsY7gaSF7Xc2S3tDOu8H7Q,https://s3-media0.fl.yelpcdn.com/photo/VZVwbXmgRRfEDznQXSOWaw/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Lisa R.,10/30/17 22:58,0,0,0,1,5,"I recently had the pleasure of dining at C&O and I have to say everything from the appetizers to the dessert can be summed up in one word.... DELICIOUS!

The fig appetizer with gorgonzola, gnocchi and duck and ravioli were so good. For the main course, the NY Strip with mushrooms, well let's just say there was nothing left on my plate and I thought I was done there. However, I made room for the chocolate bread pudding AMAZING!!!!!!!!

I would definitely recommend this place. Also, I love the building and the atmosphere inside, we sat upstairs and it's extremely quaint. Check it out, you won't be disappointed.",14,2,1zzMKYxRUXyBzHXqupMWIw,"Bedminster Township, NJ",https://www.yelp.com/user_details?userid=1zzMKYxRUXyBzHXqupMWIw,https://s3-media0.fl.yelpcdn.com/photo/6p6peExpOY2WDJc3Qed64Q/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Ashley V.,1/24/18 22:39,1,1,1,1,4,"Thank god for restaurant week or else I don't think I'd ever be able to afford this place otherwise LOL. I arrived for 9:30 reservation with my boyfriend and were surprised by the intimate atmosphere. The place is dim lit and very romantic. 

They first started us off on some bread and butter. The rolls were soft and warm while the butter was a bit saltier than expected. We ordered the roast sea scallops and the French onion soup for our appetizers.  The scallops were amazing and the sauce that it was served with was so flavorful.Then, we ordered the steak chinoise and chicken roulade for our entree. They were good, but they weren't very impressive in my opinion. To my surprise, the dessert was probably the star of the dinner. I fell in love with the strawberries and creams.  My partner got the chocolate bread pudding. Considering how we aren't the biggest fans of dessert, we really enjoyed their desserts. They weren't too heavy nor sweet. The plating for all our dishes were beautiful as well. 

The service here was incredible. They were very responsive and quick in bringing our foods right after we finish the ones before. In my opinion, this is probably one of the most 'worth-it' restaurant week options.",196,433,2Zn0ET9anDD4k7FpCmQwzQ,"Henrico, VA",https://www.yelp.com/user_details?userid=2Zn0ET9anDD4k7FpCmQwzQ,https://s3-media0.fl.yelpcdn.com/photo/xj-lw3NcluhyNvsaNxXVFQ/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Amy K.,1/29/18 15:13,0,1,1,0,4,"Thank you C&O for a wonderful time. We had a reservation for 5:30 pm on a Saturday night, and C&O was very accommodating for our party of 5. We were seated upstairs, which is a small, but intimate space. The service was attentive and polite thoughout the entire meal, which was appreciated.

The food was well-presented, but I found some of the dishes too strong for me. I started off with the pear and pecorino ravioli, which was on the heavier side for a first course. The butter sauce was overwhelming, and overpowered the other flavors. I wasn't able to finish the dish because at one point, I felt like I was just consuming butter. I did try my friend's roasted sea scallops, which were flavorful and delicious. 

For the next course, I had the braised retreat farm lamb. The lamb did not have a gamey taste, but was a little salty. I'm glad it came with gnocchi to break up the taste, but still found myself reaching for the complimentary bread in between bites. 

Finally, I got the Meyer lemon creme brulee for dessert, which was definitely my favorite course. The creme brulee was smooth and fantastic! The huckleberry sauce adds a nice tart flavor. 

With beautiful dishes and generous portions for just $35, C&O is definitely one of the best Restaurant Week deals in Charlottesville. My friends and I enjoyed our meal overall, and I'm glad I was finally able to dine at C&O.",11,4,KAIkI_hjyHIXSfRqda7ehg,"New York, NY",https://www.yelp.com/user_details?userid=KAIkI_hjyHIXSfRqda7ehg,https://s3-media0.fl.yelpcdn.com/photo/TzHigzWzXGMmt2Oes9GQSQ/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Angie M.,2/1/18 3:16,0,3,3,0,3,"I've been here a few times, and every time I wish it were better...the ambience is great and it's fun to discover all the different pockets of seating available, including a romantic setting outdoors. 
The food just seems kind of heavy-handed, more than ""it's cream and butter"". 
The drinks, both wine and cocktails, are pretty decent (as at most higher-end locations in Cville). 
For the price I consistently prefer other locations, this again falls into the category of, ""if a friend wanted to go I'd say yes but never pick it on my own"".",42,1,m3zCyPYpXSELo3BfBu-GFA,"Charlottesville, VA",https://www.yelp.com/user_details?userid=m3zCyPYpXSELo3BfBu-GFA,https://s3-media0.fl.yelpcdn.com/photo/vzjUE7eKFwyb8HGZ1DrcMg/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Ryan K.,3/26/18 13:18,0,0,0,0,4,"I visited C & O restaurant for the late night menu.  I ordered the pulled pork tacos. They serve you three tacos, and they were all tasty albeit a little greasy. I enjoyed the aesthetic of the basement as well, reminiscent of a speakeasy but with much better lighting. I would recommend a visit if you want a calm, quieter end to your late night than some places in Charlottesville.",674,21,_JMr11FZy2h8SkthoBMSmA,"Philadelphia, PA",https://www.yelp.com/user_details?userid=_JMr11FZy2h8SkthoBMSmA,https://s3-media0.fl.yelpcdn.com/photo/BMMvGaj6Fm72wrqMK6xz2Q/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
