,,Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,(view source)
11,,Nina U.,21/04/18,1,,4,5,"Boom. This is my kind of town and my kind of restaurant. We found parking in a little lot and stopped in a couple of bars along the way until our reservation was ready. They only had a late 8:30pm opening but it was so worth the wait. I cannot pick my favorites, they were all tastebud-awakening.

- Shaved Salad
- Grilled Octopus
- Chicken Wangz (my least fav but still delicious)
- Fried Catfish (we were so full by this point)",1060,699,view review
12,,Thuy H.,27/04/18,,,3,4,"I learned a few things from my recent experience at Oakhart Social. The biggest take-a-way I got was that this place offers a tapas style dining experience and if you aren't going to eat your meal tapas style, you probably won't enjoy it. I ate at this restaurant a while ago and everyone at my table got their own entree (no sharing at all) so we all did not have a great experience. However, when I came here recently and had a tapas style meal, it was an amazing experience! 

The server recommended everyone at the table getting 2-3 dishes to share. Sharing was a great way to try all the small dishes at this restaurant. Here are a few items we got:
-Shaved Salad: This sounded just like an ordinary salad but it was so good. Definitely one of the best salads I've ever had. Get this! 
-Wood Fire Oysters: I loved the citrus gremolata on the oysters. Also, the bacon fat really tied this dish together. 
-Roasted Beets: I'm not a big fan of beets so this dish wasn't that great for me. The beets tasted pretty bland- just boiled beets basically.
-Pate: Surprisingly, the pate was really good on the toasted, crunchy bread that it came with. I usually don't eat or like pate but it was pretty good.
-Grilled Octopus: I really liked the octopus! It had a charred flavor and the texture was nice.
-Chicken Wangz: GET THIS. I loved this dish. The chicken wings are so savory, crunchy, and just perfect. 
-Hanger Steak: The steak was super tender and flavorful. I loved the fried potatoes that came with this dish. 
-Fried Catfish: This was also one of my favorites of the meal. The catfish was moist and the breading was so crunchy. 
-Five Cheese Garlic Pizza: Very creamy and really crispy! 
-Pot de Creme: A solid dessert. The creme was smooth and indulgent. 

Overall, my dining experience was memorable. I'd highly recommend this restaurant if you're looking for a unique dining opportunity. If you despise tapas stye, don't come here.",222,186,view review
13,,Ilonachka N.,27/04/18,1,,3,5,"This is my new favorite restaurant at Charlottesville.

I came in on a Sunday with a few folks and absolutely LOVED the food here. I can't rave about it enough. I am vegetarian, so I stuck to the appetizers and the five cheese garlic pizza (which was phenomenal). In addition, the carrot appetizer is absolutely INSANE! I could eat five of those instead of a meal E-A-S-Y!!

Highly recommended to the community!",398,989,view review
14,,Sarika P.,01/05/18,1,,3,5,"Absolutely love this place!! It is located right next to Public Fish & Oyster (also another amazing restaurant!) and has such a great ambience. I heard that they recently renovated the restaurant to open up a bit more space, so I am hoping to go one more time before I leave Charlottesville! 

Some of my favorite dishes include: roasted beets, wood fired oysters, chicken wangz, roasted squash tortellini, hanger steak, and crispy lamb shank (YOU MUST ORDER THIS DISH).

The crispy lamb shank is probably the best dish of the restaurant, with the meat cooked perfectly well -- super juicy on the inside and crispy on the outside. I think the process of cooking the dish takes a while, so they limit to ordering it until 9:30 PM.

Two of my favorite drinks were the Flora and the Bramble On (both gin based), and they have a variety of great cocktails to choose from. 

Overall, a great place for a date or group dinner!",31,839,view review
15,,Clayton R.,26/06/18,,1,1,5,"A great find in a city full of great finds!

I sat at the bar in their super comfy and Uber-hip red bar chairs and was very well taken care of by the friendly bartender.

I had the Tuna Crudo as an app (pictured), which included some legumes on it as well....a first for me, but they pulled it off.  The flavors matched very well for a delicious, light appetizer.

For the meal, I took the bartenders suggestion for the pizza special, which was a work of art and also wish I unfortunately forgot to photograph in my excitement to get started.  It had pickled tomatoes, squash, onions and a delicious cheese blend to match an equally delicious crust.  Perfectly cooked and I savored every bite!

In a great food town, this place definitely rises to the top and I'll be returning next time I'm here.",152,29,view review
16,,April H.,28/07/18,1,,2,5,"My family really enjoyed our dinner here. We came on a Friday evening around 6pm, and we were seated at the bar, which has full service. My sister and I shared the chicken wangz and the margherita pizza. The chicken wings were slightly spicy with a faint mustard taste, which sounds kind of weird but was very good. The pizza was thin, crispy, and freshly made. Not overly filling, but just what you expect a margherita pizza to be. My parents shared the wedge salad, grilled octopus, and seared snapper. They thought everything was great, but they loved the octopus. Our server at the bar was attentive and pleasant. I would recommend Oakhart Social for a nice dinner with family or friends!",190,61,view review
17,,Lauren J.,09/10/18,,,1,5,"Ok my mom and I are visiting from California. We were initially going to go to the Public Oyster Bar place, but they only had bar seats and the restaurant was freeeezing. So they directed us to Oakhart Social. And omg. I'm so glad they did. Oakhart has shareable plates so you can order 2-3 things on the menu to try. My mom and I got the grilled octopus, the lamb ribs, and charred carrots and y'all. It was amazing! Such cool flavor combinations and everything was fresh. According to the menu, they also buy from local farms, which is a plus. Then we got desserts that were so delicious - s'mores bread pudding and pot du creme. Not too sweet and the perfect size. 
Good drinks too! 

If y'all are in the area you should definitely stop by! Wish I could come here more...guess I have to visit Charlottesville again!",9,223,view review
18,,Ira S.,12/11/18,,,,4,My wife and I enjoyed this restaurant.  We had many of their small plates and enjoyed all of them.  The one thing that I've noticed about restaurants with small plate menus is sometimes the choices don't really appeal to me and I find myself boxed into a corner with choices.  We did enjoy what we ordered.,157,19,view review
19,,Moonraker069 -.,16/12/18,,,,5,"I can't even begin to describe the flavors... an explosive melange of flavors... from spices, vegetables, and meats and fish (if you choose them). My mouth is experiencing a culinary thrill. Wow. 

Seriously. Everything we selected was good! Where do these wonderful chefs come from??  They always show up in the most obscure places. 

I am not kidding.... you have to come here. Be patient. The crowd and line are long. But the meals are worth it!",20,1,view review
20,,Allison M.,12/02/19,1,,5,3,"Not bad overall! I think all the food was executed well, but didn't hit a 5/5 in terms of blowing me away with flavors. I do love ordering tapas style, but always struggle with getting the right amount of food. It's a bit on the pricier side as well.

We got wood fried oysters, chicken wings, brussels sprouts, and pepperoni pizza. The oysters were my favorite for sure - I wished there were more. There was a great flavor with the bacon fat and citrus-y crumble on top. The wings and sprouts were both solid, but again, not the best I've had for either, but I've developed my own personal tastes for these foods. The pizza - I came in with high expectations because people love this. There isn't much pizza I don't like and this one wasn't an exception, but I just think it could have been better.",400,498,view review
21,,Tiffany L.,19/02/19,1,,2,5,"I came here after making reservations for a party of 6 on a Saturday night. They share a small parking lot with nearby shops and the inside of the restaurant is also rather tiny. (Don't bring your kids here!) However, these small complaints paled in comparison to how delicious (and inventive) the dishes were! 

It was great having 6 of us there because it meant we got to sample a decent amount of the menu which is designed as small to medium plates to share. Everything was great but the real standouts that I'd say are MUST TRYs would be: ricotta toast, squash (yes, squash!), the lamb, and the bread pudding. Wonderful and distinct flavors and textures.

This is currently my favorite restaurant in C'ville!",1365,139,view review
22,,Craig E.,04/03/19,2,2,2,1,"My girlfriend and I were so excited to try this place, but the service and food were such a disappointment. The restaurant was completely empty when we arrived, but we were seated next to the only couple at the restaurant. We wouldn't have cared but our tables were literally a few inches apart and there were plenty of open seats everywhere else. Our waiter, Collin was subpar and didn't really wait on our table the entire night. He took our order and checked up on us once throughout the dining experience. 

For drinks, we got:

Eloquent Bastard: this smelled like soap or some kind of detergent. I had to hold my breath to drink it and it was far from good. Half of the drink was foam. 

Pineapple 22A: this tasted like straight liquor mixed with burnt pineapple juice. 


For food we got:

Beets: This was nothing special. It tasted like beets from a can. 

Squash: This was the best part of our meal and that's saying a lot. Again, nothing special. 

Octopus: Half of the octopus was burnt and completely inedible. 

Swordfish: This tasted like something you would get from the frozen aisle of the grocery store. The fish had no flavor and it was very dry. The accompanying sauce tasted like a cheap honey mustard. The garnish was pieces of bitter lettuce. 

We were so disappointed we wasted a $100 at this place. Save your money and go somewhere else with better service and food.",37,24,view review
23,,Sol A.,22/03/19,2,,1,4,"I will give them a resounding 4.5 stars for their service, the octopus, the beets, the charred carrots, and the fried chicken!.
The service was fantastic. The octopus was amazing but I must say the portion is rather small but such is the concept of Oakhart social. 
Don't leave without the desert s'mores. Quintessentially American but with a nice Twist!!",198,39,view review
24,,Chris N.,26/04/19,,1,,5,"This story begins, as the good ones do, with an impeccably-dressed gay man.

My wife and I are farmers and don't get out much. But somehow, the three or four times we've come here, a new and impeccably-dressed gay man has complimented my wife's outfit. I'd been previously unaware that the fashion opinions of said men carry enough weight with cishet women to inhale the light of a collapsing star, but damned if I didn't learn something new that first time. 

She was a happy lady after leaving Oakhart Social. We didn't have any children the first time we went, and now we have two. I'll leave it to your imagination/nightmares to put two and two together.

Even if all the above didn't happen, the food is still worth five stars. I never had anything here I didn't want a whole lot more of. The pizza crusts are so good, they're worth stealing out of the kitchen*. My dad - a septuagenarian who sometimes pretends to forget my name just to mess with me - never fails to recall exactly how good Oakhart's lamb shank was, and then immediately thereafter yell at me for being a livestock farmer that does not raise sheep, which is true, for the following reason:

Cousin: ""You uh... you ever gon' raise sheep?""

Me: ""We probably will. Just not yet.""

Cousin: ""Mmmhmm. When you get em... you gon' $%@! em?""

Me: ""Jesus man... not all of em.""

Full disclosure: They buy a pig loin from me every now and again, but I'd legit leave this exact same review even if they didn't. But they did, so you can eat there secure in the knowledge that a.) the food is on point, 2.) at least some of the pork they offer is helping restore riparian buffers in the Northern Neck of Virginia, and 3.) you're indirectly helping me feed the two kids I only have because I ate here a few times.

*Don't do it. They have knives.",17,81,view review
25,,Zhana E.,30/04/19,4,1,3,5,"Loved this place! I've been a few times and I've enjoyed myself every time. The service was on point. The food was great and different. I had the pizza special and it had a very different combo of flavors, but they all worked well together! 

The ambiance is great here! Even when the place is packed you can still have a conversation. 

Try to make a reservation though, you may not always be able to get in.",114,186,view review
26,,Kimberly D.,30/04/19,1,,2,5,"Great service, ambiance, and food. Cocktails were tasty. We ordered the steak and a pizza for entrees - both were well flavored and prepared. The presentation of the steak was beautiful! We ended w the s'mores bread pudding which was good - a bit too sweet for our taste. I'll be back!",102,155,view review
27,,Crasha T.,04/05/19,,,,2,"Not a fan of the service. The server had a major attitude. She erroneously told us to order 2 entres, which is way too much food. 

What we ordered: pizza (it was actually good), carrots (surprisingly tasty and filling), hanger steak (horrible it tasted like liver), pork and pineapple (good), and the s'mores for dessert  (good). 

What really made them get the lower score was the steak was horrible, and the service was even worse. I have never felt so unwelcomed in a space that I was paying to be in.

Not a good experience at all.",42,1,view review
28,,Christopher F.,12/05/19,2,,3,5,"Came here on a recommendation from a friend.  This is a hip spot.  Nice looking bar but we chose a table.  Our server knew her stuff and made several great recommendations.  

First, the ambiance is pretty great.  I like the painted brick.  Decor is nicely done.  

The food is meant to be shared.

Started with the shaved salad.  This vegetarian option was fresh and light.  The dressing was a perfect match to the vegetables.

Next up were the charred carrots which were charred to perfection - is that possible?  

Moving on to the artic char.  The braised cabbage made for an interesting dish.  Really liked this one.

The sausage pizza was delicious.   The crust thin.  The peppers with just enough sweetness.  

For dessert, the pot du creme hit the spot.

Our whole party was pleased.   Great spot in C'Ville.",500,287,view review
29,,Cristina W.,16/05/19,1,1,1,5,"SWEET SWEET RICOTTA TOAST, YOU ARE THE STUFF DREAMS ARE MADE OF!!!! But seriously.  I had heard that Oakhart Social was amazing, but had no idea until recently how great it was when I came here for a large group dinner.  

The place is small plates-ish style - so you can def order to share.  If you only order one thing ORDER THE RICOTTA TOAST.  It is DELIGHTFUL!  The bread is that thick cut bougie fresh toast with that oh so creamy goodness of ricotta lathered on top.  It's then served with peas on top and a light and amazing vinaigrette. YES. It's a win. You won't regret it. I promise.

The other dish that stood out to me as well was the mushroom pizza.  Amazing cheesy goodness!   Plus, got to love the fungi!  The pork steak is also quite an impressive plate - so not for the faint of heart.  Ok, but not-so-faves, stood the scallion pancake and the wood-fired oysters... 
If you come by during happy hour, there are a few food specials and the fired mushrooms are also quite delicious.

The beverages are also good to the last drop - carefully crafted they are so well thought out and truly different.  I was a big fan of the perfect perfect manhattan as well as the mezcal pineapple beauty that was recipe number 22A version of the cocktail.

But for real, my key takeaways: fab place, primo cocktails, banging food, and get. the. ricotta. toast.",313,245,view review
30,,Nick D.,17/06/19,,,,4,"For how small this city is it surprised me that it was so hard to get table. We had called multiple times and finally ended up just sitting at the bar (with full service). It was odd to me though that when we walked in there were a TON of empty seats in the main dining room which apparently were being saved for others who had made reservations beforehand, funny enough even after our full meal, those tables were still empty, oh well.

The bartender was super friendly and gave us many recommendations for different things to eat and drink.  We tried the house sausage pizza which honestly was just so-so at best. We also tried the Ricotta Toast which also was apparently is what this place is known for. It was certainly an interesting take and definitely enjoyed it. This is a really cute restaurant located on the main strip of downtown Charlottesville would definitely return!",693,502,view review
31,,Ana D.,24/09/19,2,1,2,4,"Came here twice so far and both times were very pleasant. Sat outside to avoid the wait the first time and because it was such a nice day out the second time. Second time around there were three of us and we ordered the shaved salad, beer battered flounder, fried chicken, and the pork steak. 
I am not a salad person but I actually ended up being a big fan of the shaved salad. Enjoyed all the other dishes as well. The four were enough food for the three of us and we had some leftovers. 
Service was quick and friendly. Price was reasonable, about ~40 per person.
Would come back.",280,235,view review
32,,Brenda S.,23/10/19,,,,5,"We love this restaurant!!  We were here on two separate occasions prior to hosting an event in their private events room.  Each time we visited we were so impressed by a how fresh and creative the dishes were.  My personal favorites are the charred carrots and hangar steak.  The ribs are also top notch.  
This past weekend we hosted a rehearsal dinner in the events room.  We can't say enough about manager Ben Clore.  He was wonderful to work with.  He was so helpful and flexible with helping us plan this special evening.  We had approximately 40 guest in the room,  it could have held more comfortably.  The food was so amazing!!  Our friends were commenting on how delicious the food was and how intimate
the room felt.

 Huge thank you to Ben and staff for making it a perfect night!!",4,,view review
33,,Gloria R.,04/11/19,,1,3,5,"Still thinking about our seriously delicious meal here, one week later. Service was perfect -- friendly, knowledgeable, prompt. My friend and I shared the Shaved Salad, Oyster Mushroom, Grilled Pork Steak, and deconstructed S'mores dessert. The Shaved Salad was a hit and gave us the feeling that there was a great meal ahead. I loved the crispy parmesan crumbles and salad dressing, which was creamy but tasted light. The Oyster Mushroom was so delightful we practically licked the plate clean. The Grilled Pork Steak gifted an explosion of flavors thanks to the pineapple, jalepeno, and peanut topping. My friend and I were in disbelief as we happily savored each bite. 

We were too full to properly enjoy dessert, but the chocolate was just sweet enough and not at all overpowering. Overall, a terrific experience! Worth the substantial bill. 

Atmosphere-wise, the restaurant feels warm and full but not too noisy or overcrowded. If you choose to sit outdoors, they have heat lamps and wool blankets to keep you toasty.",75,12,view review
34,,Vita W.,05/11/19,,,,5,"-What you need to know in a sentence: One if cville's best that serves delicious d that have influences of all types of cuisines
-Ambiance in threeish words: way classed up garage- it use to be a fire station!
-Treated like: service is friendly, nice and kind.
-Must try: if you don't try the charred carrots you've done something wrong. The fried chicken is also excellent
-Other random tidbits: it gets packed on a weekend migh",65,15,view review
35,,Lyndsay W.,18/11/19,,,,5,"Pricey but worth it. Great for a group if everyone is down to share. I really liked the oysters, the charred carrots, and the fried chicken. The service was awesome. Definitely need to make a reservation in advance.",195,135,view review
36,,Elizabeth H.,22/11/19,,,1,5,"It's about balance right?

You run 5k to not feel bad about the dessert you ate. You order vegetables so that the pizza doesn't seem as bad shared. When I travel for work, I always look for a new spot to try and get inspired. I'm Charlottesville, I was taken to Oakhart Social @oakhartsocial; it felt like I was walking right into a local Brooklyn spot. To paint the picture the walls were full of brick, painted white, and the floors of reclaimed wood. A bit dim in the space, there was a coziness in the air.

Our Picks:
Charred Carrots
Shaved Salad
Pepperoni Pizza
Pork Steak
Squash

There is no doubt in my mind that I would come back. The food was delish (small plates meant to be shared), service great and a great fusion of flavors.

#charlottesville #virginia #diningout #worktravel #travel #wanderlust",86,96,view review
37,,Ruchi S.,19/01/20,,,,5,"Everything we  ordered was delicious. The service was impeccable. Would totally eat here again. 
P.S: The staff is very kid friendly!",13,,view review
38,,Katherine L.,13/03/20,,,1,5,"We found this place on Yelp when traveling in the area and it did not disappoint. The service was excellent. Our waiter was great, and the food came out quickly. Each item that we ordered was delicious. We left feeling satisfied, but not stuffed. The food was all packed with unique flavor combinations, and the chicken was extremely tender. The atmosphere was also very comfortable.  Would recommend this restaurant!",94,153,view review
39,,Janette B.,12/09/20,,1,,5,"'Been there several times __ from Seattle, WA. The food is a revelation: Chef Tristan Wraight is a master of visuals, textures & taste-combinations. Inventive dishes that satisfy more than just the appetite, but also pamper the desire to indulge one's senses. I'll go again. And again.",19,,view review
40,,H G.,15/10/20,,,,5,"We were very pleased with this restaurant. The shaved salad had so many flavors and textures. My partner doesn't like salad but ate most of the shaved salad. The sweet potato dish was really unique and our favorite small plate. The ranch on the carrots was the best ranch I've ever had. 

And the  margherita PIZZA. So good. The crust itself has so much flavor. They are really tasting everything to make sure their salt level is perfect. The pizza had a nice char in certain spots. Also I could taste the sauce pizza and it seemed like a really elevated tomato sauce. It was a perfect thin-crust pizza. 

The gin gemlet was our favorite cocktail. It was slightly sweet, with citrus, basil, and gin flavors.",141,,view review
41,,Owen B.,31/10/20,4,,4,5,"Their burger is my favorite in town.  Easily.  Better than citizen slimers, better than jack brown whoppers, and yes even better than riverside. The cheese, the pickles, the MarieBette everything brioche.  It's perfect.",379,215,view review
42,,Courtney K.,14/11/20,1,,3,4,"Bottom Line:  Good food and prompt, friendly service.

My husband and I enjoyed a Sunday dinner at Oakhart Social.  We really enjoyed the uniqueness of the shaved salad.  I'm sure a lot of work goes into that salad and salads always taste better when someone else makes them.  I like the contrast between the very savory fennel and the sweet apples.  I also like the crunch topping on it.  We also ordered the mushroom pizza which was better than I expected.  The creaminess of the ricotta mixed with the pesto and oyster mushrooms made for a really nice blend of flavors.

We dined at Oakhart Social in early November and sat outside in the alley.  We were glad to be able to get a table without a reservation.  I'm not sure if they have much dining inside but they do also have a covered patio and offer takeout.",2718,635,view review
43,,Caitlin C.,21/12/20,,,,4,The brussel sprouts are AMAZING. The fried chicken was a little too salty in my opinion but the chicken itself was good quality. Overall the food is really good quality and portion sizes are generous. The Take-out menu has been limited (presumably because of covid) but it's still good,157,26,view review
44,,Nirali S.,16/01/21,1,1,4,4,"COVID Note: Staff was wearing masks and tables were adequately spaced. Wasn't too cold with the heat lamps.

Enjoyed our experience here! We were walking by and decided to check the place out since some tables were available. We ordered some light apps - brussels, carrots, and sweet potato. Everything was delicious, and the sweet potato dish was pretty unique. Quick and friendly service.",110,274,view review
45,,Sam S.,31/01/21,1,,,5,"The shaved salad and the burger changed my life. I might end up going back to Charlottesville solely to try out their other dishes! 

-A very satisfied DC tourist",20,164,view review
46,,Alison W.,28/02/21,,,2,5,"A great experience at Oakhart Social! Started the meal off with cocktails that were unique and delicious. Their menu seemed like ""comfort food"" with a twist. My husband and I got everything to share--and ordered the shaved salad, brussels sprouts, cabbage & scallion pancake, and the fried chicken. The shaved salad was light, complex, super tasty, and unlike any salad I've ever had (in a good way!). I highly recommend it. The brussels and pancake were delicious, and surprisingly filling for a veggie dish, and the fried chicken portion was also deceivingly big. We both left dinner very stuffed, and very happy.

In terms of covid-19 safety: social distancing was adhered throughout with all tables spread out greater than 6 feet. All staff wore masks the entire time, and they even asked that we wore masks when interacting with the waiter/waitress, which we were very happy to comply!",174,251,view review
47,,Michelle S.,14/03/21,,,,5,The carrots were to die for. Amazing! Loved this place.  Excellent service and cute ambiance,28,150,view review
48,,Emily S.,23/04/21,,,,5,"Wow. I thought this was a pizza joint but it's so much more than that. Divine food. Must try the charred carrots, cabbage and scallion pancake, and most of all the mushroom pizza. Incredible. Great service too! I can't wait to go back and try the rest of the menu.",94,137,view review
