,,Author,Date,Cool,Funny,Useful,Rating,Message,"Author Reviews","Author Friends","Author ID",Location,"Profile URL","Profile Photo",URL
11,,"Casey S.","2019-06-11 00:20:57",0,0,0,0,4,"I'm a big fan of this restaurant for casual dinners in Charlottesville. It offers a widely varied menu of Asian specialties with unique twists and plenty of vegetarian and vegan options. The fresh rolls are my favorite things to order as an appetizer each time - they're stuffed with avocado that's fresh and creamy, and the peanut sauce it's served with is to DIE for. The first time I went, I ordered the rama tofu, which was smothered in the peanut sauce that I loved, but hard to eat with only the spoon I was provided with, and a bit pricey at $14. Next time I got a tofu and veggie sautee, which was delicious, yet quite a small portion for $10. 

The venue is also a positive. It has a beautiful outdoor dining area under string lights to enjoy in warm weather. The inside is clean and tasteful too, yet a big cramped and dark. I settled on four stars mostly due to menu pricing and inside atmosphere. The food itself is a must eat for Charlottesville.",183,371,qdtA5TTtueNZZRNo28Ytig,"Arlington, VA",https://www.yelp.com/user_details?userid=qdtA5TTtueNZZRNo28Ytig,https://s3-media0.fl.yelpcdn.com/photo/_M1tL0c4wYqD7gHSQ-TVyg/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
12,,"Alice M.","2019-07-05 17:53:50",4,1,1,3,4,"Cville has a lot of Thai options, and I do think that Monsoon has the highest quality food. My favorite dish there is the duck noodles-- you have to try it! The cigar rolls are also pretty unique-- kind of like an Indian samosa in spring roll format. 

Curries are solid, though a little soupier than other Thai restaurants I've been to. I have also tried their Kao Soi with soft shelled crab. The crab was great and the dish looked really cool, but I felt like all the dry noodles on top were a little distracting from the egg noodles in the soup that I wanted to get to! 

One thing this place could work on is their service. Both times I've been to eat on their patio the servers are super aloof and the meal has taken way longer than it should have. I'll still come back for those duck noodles though.",170,231,GGdnMcaGNcmWrTVJmTcH4Q,"Minneapolis, MN",https://www.yelp.com/user_details?userid=GGdnMcaGNcmWrTVJmTcH4Q,https://s3-media0.fl.yelpcdn.com/photo/4Ksx9dxli8BFKTXT4UgSCg/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
13,,"Efren M.","2019-07-24 22:49:49",0,0,0,3,3,"Came here for dinner with a friend after a very tough and, chest and tricep workout ‍ that drained my energy and needed to reload my body with carbs and protein. 

Following the hype about Monsoon I've been wanting to taste it. I ordered the Kao Soi, that is a dish I never ordered in the past at any Thai restaurant, to my demise, the broth was lacking that flavor, spike, punch  that that dish can provide your taste buds. 

I also ordered the mango  sticky rice  and unfortunately was not great, I mean it was ok for somebody that has never eaten that dish before. 

The rice was overdone, lacking flavor. 
I would be willing to go back and try my favorite Thai dish, Pad See Ew and add to my review accordingly, but I am not in a rush to do so at this point.",167,117,r5rOh0rQcKfLnkxCBwjVvg,"Miami, FL",https://www.yelp.com/user_details?userid=r5rOh0rQcKfLnkxCBwjVvg,https://s3-media0.fl.yelpcdn.com/photo/zQhixS5JGthCui3yZQdEMw/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
14,,"Julie T.","2019-09-06 20:17:55",0,0,0,0,4,"My boyfriend and I went there last night. Love their pad Thai and spring rolls. Also really like the lights at night in the outdoor courtyard. The service was very good and we did not wait long at all. Parking though is a challenge as it is street parking. 

It is also walking distance to many small shops and restaurants too. I will definitely return",307,87,9fHQSHRnC-jS5dUqg76yIQ,"Richmond, VA",https://www.yelp.com/user_details?userid=9fHQSHRnC-jS5dUqg76yIQ,https://s3-media0.fl.yelpcdn.com/photo/T7Nwis7nYXqpCyEYgct38A/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
15,,"Katie V.","2019-11-19 02:02:16",1,0,0,3,4,"I recently discovered this place and have been a fan ever since. One of the best pad thai I've ever had. Their noodles are cooked to perfection, great balance between not to soft and not to hard - a perfect level of chewiness to it. Everything about this dish has been consistent each time I've ordered it. A couple other dishes to comment on: their drunk noodles were too salty and greasy for my liking, their papaya salad also too salty, kinda lacked sweetness. I usually get their food thai hot, but end up adding more red pepper to my dish. 

A couple problems I've run into: parking - I wish it was more ample, and their lack of response phone calls. I've almost given up on take out because they don't answer their phones. Although I will say, I've never had a problem with service when I dine in.

Overall, I've enjoyed their food and definitely will be back. They've become my go-to Thai restaurant.",57,6,MmJJ_Cv3tQoPzVRueOE7GA,"Charlottesville, VA",https://www.yelp.com/user_details?userid=MmJJ_Cv3tQoPzVRueOE7GA,https://s3-media0.fl.yelpcdn.com/photo/ENvdrWNetLhd4EVFsDhm0Q/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
16,,"Christina D.","2019-12-03 03:22:52",2,0,0,2,5,"Went here for dinner during the week and was pleasantly surprised there was no wait. The place is relatively small so I suspect on a weekend night, there may be more of a wait so be aware of that. The food here is good solid Thai food. The drunken noodles are a bit oily but that's quite typical. Overall I highly recommend this place!! Great khao soi too.",163,51,pY-sP0YA68zX13Uy-yxbVw,"Charlottesville, VA",https://www.yelp.com/user_details?userid=pY-sP0YA68zX13Uy-yxbVw,https://s3-media0.fl.yelpcdn.com/photo/f8702umrDtEtAe0XQT3tLw/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
17,,"Myriam T.","2020-01-12 23:31:26",0,0,0,0,5,"I love this please always friendly! 
I been there 5 times and order a new dish each time, the food was always good !! 
It's not expensive, great service, and amazing food !
You can tell the Quality of the food everything is fresh !",23,48,mWKco208s66dVg2gANJYtg,"Ottawa, Canada",https://www.yelp.com/user_details?userid=mWKco208s66dVg2gANJYtg,https://s3-media0.fl.yelpcdn.com/photo/Z6a4WQPX_S_-yeL-szTZzQ/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
18,,"Kalpana S.","2020-01-26 02:53:52",1,0,0,0,5,"This is one of the best Thai restaurants I've ever been to! The food is great. My favorite is the Panang Tofu. Everything is made to order, which is much appreciated (I don't like a lot of veggies so I can choose which ones I want). The food is not too spicy, but you can ask for 5/5 which is a bit spicy. They also provide hot chili sauces (fish oil, vinegar with jalapenos, chili flakes). We like the Hell Fried Rice as well, very yummy. Their mango sticky rice was also pretty good. 

As for drinks, they have a really extensive cocktail selection. I had the thai iced tea cocktail (I forget what it was called), it was really delicious. The service is also really great here, they are friendly and attentive.",58,25,QUa3OERrf-p19EeOfUZDxg,"Arlington, VA",https://www.yelp.com/user_details?userid=QUa3OERrf-p19EeOfUZDxg,https://s3-media0.fl.yelpcdn.com/photo/k-lsxuqzjHCyMW8b5wjNJg/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
19,,"Jessi S.","2020-07-15 01:43:08",1,0,0,3,5,"Food was really good and the host had limitless effort for the steady busy coming his way. We sat outside on the patio but had to wait in line to order near the entrance. It was a one man show: he took our order, delivered our wine, took care of to go orders, and answered phones. We got the soft shell, duck, and pork belly with noodles. My favorite was the duck, which was a huge portion! Not very spicy, though, with the 2 star warning... everyone else's fave was the pork dish- so tender! The soft shell crab was actually disappointing. We normally love soft shell, but this one had no flavor despite bathing in sauce. Also, because of the safety precautions, our food was served in Tupperware and we ate with plastic cutlery. This made it slightly difficult to eat because the plastic knife and fork would just flex and bend instead of cutting! Oh, and lucky us! $15 off bottles of wine..we got 2!",437,386,LK2cFPrCgHc8shHfG1bN-w,"Baltimore, MD",https://www.yelp.com/user_details?userid=LK2cFPrCgHc8shHfG1bN-w,https://s3-media0.fl.yelpcdn.com/photo/vqfG8_H8_RZsAKzlPE1Uew/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
20,,"Carrie S.","2020-09-22 20:27:56",2,0,0,2,5,"I'm SO glad I finally tried this spot! It's easy to forget about the places just one block off the mall. This place has everything I want. Outdoor seating, a nice and friendly ambiance with outdoor lighting and great food! I tried soup, spring rolls and Hell's fried rice. The rice was my favorite & I'll be back for more of that. I'll be back to try the many other menu items that looked enticing!!!",116,160,qYNSI5Kg5bjVHQY1Iv3EFA,"Charlottesville, VA",https://www.yelp.com/user_details?userid=qYNSI5Kg5bjVHQY1Iv3EFA,https://s3-media0.fl.yelpcdn.com/photo/7mjxozw2f_A0hrlsBPtESA/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
21,,"Katie H.","2020-11-15 13:49:56",0,0,0,0,4,"If you like Thai food and want to walk around the Charlottesville Mall before/after dinner, I would highly recommend this place! Only one block from the mall and very good Thai food. 

Parking: street parking, can be a little challenging. We parallel parked a block away. 

Vibe: outdoor seating with a cute date night vibe. Pretty heat lamps. Perfect for a night out. 

Food: I got the massaman curry and it was very good. The chicken was super tender and the flavor of the curry was amazing. Only suggestion-have them chop up the peanuts and sprinkle on top instead of leaving them whole. My husbands Pad Thai was good too but we agreed the curry was better. We had the mango sticky rice for desert and that was on par for the best mango sticky rice I have had. 

Wait time: We sat down at 6 and it wasn't very crowded, however, by 7, every outdoor table was taken! Unfortunately our food took 30-40 minutes to come out since they were packed and it seems like they get a ton of takeout orders that they have to prepare. It was odd because the people next to us put their order in after ours and got their food a solid 20 min before us. Maybe it depends on what you order or they forgot to put our order in- who knows. 

Staff: Very friendly and checked in enough. Were doing the best they could with how slammed they were! 

Price: Very reasonable! Meals are around $11-$15. 

We will be returning!",19,276,78U3lUKzlUh5KrOJcjibeg,"Arlington, VA",https://www.yelp.com/user_details?userid=78U3lUKzlUh5KrOJcjibeg,https://s3-media0.fl.yelpcdn.com/photo/yLzIRzHS9wmrjbWTzc0Fyg/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
22,,"Stephanie A.","2021-02-25 19:28:36",2,0,0,0,5,"This is my favorite Thai restaurant!  Great food.  Penang curry is my favorite!  Fresh ginger is amazing too",36,86,qhv5caqjHNRiTvyWtH_bFw,"Charlottesville, VA",https://www.yelp.com/user_details?userid=qhv5caqjHNRiTvyWtH_bFw,https://s3-media0.fl.yelpcdn.com/photo/-4C_LrmbX1JfdkgBhmcYLQ/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
23,,"Katherine C.","2021-03-06 19:19:16",1,0,0,3,5,"A delicious and versatile menu! We tried the Fresh Rolls (VG), Pork Gyoza, Veggies Gyoza, and Drunken Noodle Jumbo Lump, all of which were spectacular and will certainly become regular orders for us. The Drunken Noodle Jumbo Lump especially was to die for! Serving sizes were large, and prices were reasonable, with our order covering the two of us both for dinner and for lunch the next day. We especially loved how flexible the menu was for dietary restrictions (vegan, vegetarian, gluten free, etc.), and loved the special touch of color coding the gyoza wraps for pork vs. veggie! This was perfect for my partner and I to tell them apart, as one of us does not eat meat. We look forward to trying more items on the menu!",123,478,CFJFVfJMvo-H4GM2xXP0zw,"Boise, ID",https://www.yelp.com/user_details?userid=CFJFVfJMvo-H4GM2xXP0zw,https://s3-media0.fl.yelpcdn.com/photo/MYgrmJSkmY2Slr6pXQiP_g/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
24,,"Justin N.","2021-03-13 22:09:43",0,0,0,3,4,"The weather was nice and I was craving Thai food so we checked out Monsoon Siam. Thai food is my favorite and Monsoon Siam did not disappoint. The restaurant has nice outdoor seating and space heaters which is perfect if you like to sit outside like me, especially in the pandemic. The outdoor area is also kept clean. The Thai iced tea was standard. The pad Thai was good and the best I've had in Charlottesville. The Kao Soi was interesting-- it tasted alright and the spices reminded me of eating chicken satay but in curry-noodle form. The prices were fair. Overall I was impressed and I will definitely be coming back. Coming from DC, it's not the best Thai food I've ever had but it is pretty good and we enjoyed the ambiance. A good place for date night and solid Thai food in Charlottesville.",372,109,_-Ty7RHBtpHR7_m5H-0gfw,"Washington, DC",https://www.yelp.com/user_details?userid=_-Ty7RHBtpHR7_m5H-0gfw,https://s3-media0.fl.yelpcdn.com/photo/itIoJCObMYRCzoTC5kDEfQ/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
25,,"Destiny L.","2021-03-15 02:15:10",1,0,0,2,5,"Yum! Yum! Yum!
This place is delicious! I recently moved here and frequently ordered takeout as I was moving in. I happen to love Thai food and have had the opportunity to visit Thailand on multiple trips and can say this tastes as authentic as it gets!

You can taste when fresh ingredients are used and they definitely don't go to waste here! I ordered the garlic chicken and added baby corn and it was mildly spicy. I actually prefer my food really spicy but I can adjust that with ingredients at home. I didn't think to ask about it when I placed my order.

I also had a Thai tea which was super refreshing as well as balancing the meal as they always do!

I can't wait to go here to dine in person with my husband!",79,205,5qaMg2s0OdYLenfCVYwj0w,"Charlottesville, VA",https://www.yelp.com/user_details?userid=5qaMg2s0OdYLenfCVYwj0w,https://s3-media0.fl.yelpcdn.com/photo/SuHgy8rVmSLiZsRuMFaaPA/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
26,,"Nour O.","2021-03-18 18:30:53",1,1,1,1,5,"I still dream about the Thai Iced Tea!! We absolutely adored this place. All of the food was so rich with spices and flavor. The prices are also very reasonable. The Shrimp Pad Thai is the best in Charlottesville. It was a bit sweet and balanced with the various ingredients. The duck curry was a perfect meal to warm me up on the cold night we went. The curry was very smooth and full of spices. The duck was also pleasant and chewy. Overall, this is THE BEST THAI FOOD IN CVILLE!!",33,129,dD6byoO9R0aenXNf0N93qQ,"Rockville, MD",https://www.yelp.com/user_details?userid=dD6byoO9R0aenXNf0N93qQ,https://s3-media0.fl.yelpcdn.com/photo/gy3uf1X3XR8xqGL5JCsONg/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
27,,"Bobby S.","2021-03-27 14:20:48",3,0,0,5,5,"What a beautiful gem found near the heart of downtown Charlottesville... 

I would venture to say probably my favorite Thai restaurant of all time... except for Thailand  (future goals)...

They have a quaint outdoor sitting area and that makes it possible to eat the food hot and as made... which is preferable...

The Pad Thai is more saucy than usual but I absolutely love the flavors that are brought out!

The crying tiger is substantive and delicious... it's cooked to perfection... not over cooked... nice and medium!

The Kao Mu Todd Kai Dao is my absolute favorite! The flavors of roasted garlic rice and runny egg... the crispy fried pork... oh my!

Can't wait to come back and try everything!",279,62,FTJdWIH-kV95-0CWdp_znQ,"Aldie, VA",https://www.yelp.com/user_details?userid=FTJdWIH-kV95-0CWdp_znQ,https://s3-media0.fl.yelpcdn.com/photo/SkKKBD7XE5kCfDPSJNxfMA/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
28,,"Andy N.","2021-03-28 02:14:13",2,0,0,1,5,"The food was perfectly priced and the best Thai food I have tasted in Cville. Bursting with flavors and spice that shouts authenticity! I 100% recommend coming here if you're ever craving Thai food! But the service is very hectic and chaotic because they're always so packed. Regardless, this is my new Thai spot for Cville!!",229,88,SJUmB4Zn8IbZ1fRzjeknLA,"Boston, MA",https://www.yelp.com/user_details?userid=SJUmB4Zn8IbZ1fRzjeknLA,https://s3-media0.fl.yelpcdn.com/photo/hZawz5UDF8xWZt0Ai44hJQ/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
29,,"Christine G.","2021-04-13 00:48:20",1,0,0,0,4,"Sunday night dinner on the patio. Very crowded and the small staff was scrambling to care for everyone. The food was fantastic!

The only thing I'd recommend for the staff is to pay attention to empty glasses at the table. I would have had at least 2 more Thai Mules if the waiter had swung by to ask if we wanted any more drinks while waiting for the food to arrive. 

I'll be back when my travels bring me to Charlottesville again.",62,0,5A2Ue0zw5wnStsYbvT7jGw,"Silver Spring, MD",https://www.yelp.com/user_details?userid=5A2Ue0zw5wnStsYbvT7jGw,https://s3-media0.fl.yelpcdn.com/photo/UgcrtBl53eS9I8DKMtg2bw/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
30,,"Danielle S.","2021-04-13 15:28:34",1,0,0,3,5,"One of my favorite patios in Charlottesville, Monsoon is home to the best Thai food in Charlottesville. If you like spice, they do it big and bold with their Hell Fried Rice, my favorite dish on the menu. They also offer delicious cocktails, especially the Thai Mule. Authentic food, great atmosphere indoor and outdoor and dishes don't disappoint.",121,70,ibXH90mH5WMGsEXRXZH41w,"Charlotte, NC",https://www.yelp.com/user_details?userid=ibXH90mH5WMGsEXRXZH41w,https://s3-media0.fl.yelpcdn.com/photo/GgC5YF_E7aQMMy_S5ASDHA/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
31,,"Gi S.","2021-06-01 05:05:58",0,0,0,1,1,"Saw the awesome yelp reviews and decided to order some take out last Friday nite. Ordered  the popular pad thai, duck noodles, pad see eaw, and big belly bowl.  Food did not live up to the hype.  Pad thai was sweet but lacked flavor.  Duck noodles and pad see eaw were likewise bland.  Big belly bowl was just ok. Waste of money and carbs :(",187,39,j21BAs5MN1eZkU6huCYtbQ,"NO POTOMAC, MD",https://www.yelp.com/user_details?userid=j21BAs5MN1eZkU6huCYtbQ,https://s3-media0.fl.yelpcdn.com/photo/SpL8Dqhbdt0PWHh74JxUSg/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
32,,"Alexandra A.","2021-06-16 08:00:06",2,0,0,0,5,"I lovee Monsoon Siam. Every time my brother visits Charlottesville we eat here. It's perfect for his allergies (dairy, wheat, and eggs). We are working our way through the menu. I really like their chicken dishes and curries. Their thai iced coffee is also great!! I'm not the biggest fan of their fried rices. You should definitely try this restaurant!!",148,25,Vx9oa56rhcb7jFEWqcr9xQ,"Alexandria, VA",https://www.yelp.com/user_details?userid=Vx9oa56rhcb7jFEWqcr9xQ,https://s3-media0.fl.yelpcdn.com/photo/c56dx9W01WUySXiYXDt2Hg/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
