Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,Author ID
Mark G.,10/27/20 1:07,1,1,1,2,3,"A five minute drive from the Inn we are staying at while in the area for a few days. It is in the center of Old town Charlottesville. Parking was easy and free. We parked in the back and surprised some folks by entering in through the back door of the place. 

You could eat indoor or outside we chose outside on the smallish patio area about 6 tables right on the street. It was 64F a calm evening. There were two other groups out there. The inside was not too crowded but we did see many patrons waiting for their take out orders. It was about 645p on a Monday. 

Service was good. We ordered hummus & a Caesar salad to start and risotto pescatore and pork ragout pappardelle. The hummus was very good. My wife loved her risotto. She commented that this was one of the few places that removed the shell from the shrimp tails that she could remember. Seems every where we go from fancy to not the chefs never remove the shells from the tails.

My ragout was unremarkable. It was good enough for comfort food but could have used a bit more flavor. 

We got a few glasses of wine, an Albariño and a Nebbiolo. Both were good. 

It is a nice place for a decent meal. Total $144 with tip. Ok value. 

Mark & Nancy.",568,46
Hillary R.,12/11/20 1:16,0,0,0,1,5,"Cute, intimate little place. We had an early reservation and were the only people in the restaurant for awhile, but when other patrons came the staff was careful to seat diners beyond the social distancing guidelines. Felt completely safe the whole time.

The food was STELLAR! We had the duck breast, peasant beef, and cheese plate. Everything was delicious and left us wanting more. 

Our only regret was that we weren't there when the little market that it's connected to was open. We did end up going back to visit the bakery that shares a parking lot, but we will have to make another visit!",18,1
Julie S.,6/21/21 11:59,3,1,1,3,4,"Great dinner spot! We came here after seeing reviews and were not disappointed. 

We made reservations, but arrived early and they were able to seat us right away. 

Our server Annie was new on the job and apologized in advance but that was not needed as she was super sweet, attentive and helpful!

She brought out olives for us to enjoy before, but no bread since I let her know I was gluten free. 

For gluten free options, they do not have a gf pasta, but any of meats can be prepared gf and the risotto is gluten free. 

We enjoyed sangria and when Annie asked if we were from Cville, we told her no and we were visiting on vacation so she recommended several spots. 

My friend had the spring vegetable salad and loved the lentils on the salad and ate every bit of her Calamarata alla Norma.  I enjoyed the Risotto Primavara. 

The classic tiramisu was amazing! Light and fluffy and the coffee cut the sweet just enough. Highly recommend.",640,436
Tera C.,6/28/21 16:26,0,0,0,0,5,"My fiancé and I had our rehearsal dinner and wedding welcome party at Orzo this past weekend and we are so happy with how perfect the entire evening went!! Even though many restaurants are experiencing staffing shortages in this end of COVID era, Orzo's staff was an A+ team that made our night seamless. The food was absolutely delicious. Best tiramisu I have ever had. We received many compliments on the food, the wine, and local beer selection. The staff was professional, friendly and helpful. The Red Room space was perfect for our rehearsal dinner and the Galleria served as an excellent place to chat and drink with other wedding guests for the Welcome Party. We will definitely be going back next time we are in Charlottesville!!",1,6
Urvi P.,8/21/21 11:26,0,0,0,0,5,"Great local place to eat!  Has great food for vegetarian and meat eaters.  Got the opportunity to talk to Ken, the owner/bartender, who's a great guy and makes a mean margarita.  Will be back each visit to c'ville.",4,4
David L.,8/21/21 19:59,0,0,0,1,5,"We had a very pleasant dinner here after spending the day touring UVA. The service was warm and attentive, and most of the dishes we ordered were very enjoyable. Starters, including the hummus, local tomato gazpacho and the melon and cucumber salad were great. Really unique cool salad that really hit the spot on a hot and humid day. The Red Wine Braised Squid Pasta dish was also very good. A bit difficult to discern the individual ingredients, but the pasta rings were cooked perfectly and the sausage sauce was addictive.",397,35
N S.,9/7/21 4:24,0,0,0,0,4,Not a bad night considering it was dorm time in this town.  We were able to get a seat.  The food was all delicious and fresh.  Wonderful oil they use for dipping bread and spreads.  From the write up. 'S.   Interesting selection. Can't really remember my primary selection.  So it's really just average.  The wait staff is young and in training a few mistakes including the bill.  I anticipated more.  The picture says it all the bread was excellent.,430,2
Matt K.,9/21/21 10:26,0,0,0,0,4,"Red wine braised squid pasta was perfectly cooked, slight spicy note from the sausage addition. Was debating between this and the lamb dish, highly recommend this. For a pasta dish was very light. Not pictured was the appetizers and sides of hummus, baguette, black eye peas, and the bruschetta (also, get the bruschetta)!",56,25
Patrick L.,9/26/21 1:44,0,0,0,3,5,"Rarely does it happen that I clean my plate when dining out, but Orzo's food is so excellent I couldn't help myself.

We came here for date night, courtesy of a very generous wedding gift from the owners. The prosciutto bruschetta was exactly what I want an appetizer to be- tasty, but not filling to the point I'm not hungry for my entree.

The Lamb itself was superb. Lamb is my favorite meat, so I obviously have high standards for it. Orzo's dish was so tender I didn't even need a knife to cut it.

The service was outstanding as well. We got to make good conversation with one of the owners, who took great care to ensure our experience was rewarding-safe to say it was!",81,149
Sabrina D.,10/15/21 1:00,1,0,0,1,5,"One of the best experiences we've had in a long time! The food was excellent...prime sirloin to die for, drinks were strong and flavorful (the Pasionaria was a great twist on a margarita), and the olive oil rosemary cake was moist and tasty and not the same old thing. 
We also had excellent service. We sat outside with our dog and the staff were all friendly, fun, and accommodating to us and our pup. We'll definitely be back!",68,4
Jackie B.,10/29/21 2:49,1,0,0,2,5,"*4.5 Stars* So impressed with this place! Our party of 6 had an early dinner reservation, and we weren't quite hungry enough for a meal when we got there but somehow managed to eat a TON of food. It was that delicious! To be honest, nothing on the menu really stood out to me at first but EVERYTHING we ordered was so appetizing and amazing.

We started with the mussels as an appetizer and the broth was so rich and sausage-y. We also got the haloumi cheese and hummus apps... everything was sooo good that we ordered another full loaf of bread and oil to dip in all of the leftover broth, cheese, and hummus. Even the olive oil was the best oil I've ever tasted. Our sirloin steak, pork tenderloin, and rigatoni bolognese entrees were really great too and so flavorful. Tiramisu and drinks did not disappoint either, although I wasn't a big fan of the sangria. Would def come here again, and I found that this place was only one of a few that opens on Sunday and Monday evenings in Cville.",292,150
Jack R.,10/31/21 4:36,0,0,0,0,5,"We were visiting my son in Charlottesville and he recommended the Orzo for dinner so we gave it a try.  It was a great call!  I'm going to concentrate on my dish but before I do I just want to praise the hummus a bit.  We actually ordered two hummus dishes - we had one as an appetizer with the baguette, and my wife had a hummus order but substituted grilled flatbread instead of the baguette.  Haven't had hummus on a baguette before but it was fun and delicious.  Of course what made it great was the hummus - very flavorful, light and fresh.  We ate every drop of the hummus and all loved it.
 
My dish was the Smoked Pork Tenderloin.  It was fantastic.  The chef had laid down the butternut squash puree with the chili fennel rub/bulgur pilaf on top, and the green apple relish on the side (see photo).  I started with the rub/pilaf/puree and the explosion of flavors was just incredible.  So delicious!  And the apple relish had a wonderful, light, minty(?), refreshing flavor but was chopped into very small little cubes so that it was also a delight to chew.  Mixing the relish in with the rub/pilaf/puree was just a flavor smorgasbord.  

Then there was the tenderloin.  Very tender, not a bit of fat on it, cooked perfectly, and with a strong and delicious smoked flavor.  It would have been delicious all by itself, but with the accompanying delights just mentioned, it was out of the park!   Couldn't have been happier with the tenderloin, it was the best I've ever had.
 
The only knock I have on the Orzo was the list of entrees is a bit short.  I suspect they keep it short to concentrate on what they serve, and they did an outstanding job on my tenderloin, but newcomers may have an easier time selecting something with a couple more choices.  All in all, it was just outstanding and I can't wait to go back.",34,1
Hannah P.,11/5/21 23:27,0,0,0,0,5,"Went for a celebration dinner with my boyfriend and had their prosciutto bruschetta for app, peasant beef and pork bolognese and calamarata squid pasta with montepulciano wine, and their olive oil and Rosemary cake. 
Prosciutto bruschetta was SO good. A must have. I could've eaten only those for the whole meal and would be okay with that. My boyfriend had a bolognese which was very fragrant and yummy. The squid pasta was also very good. The squid was very tender and softer than the noodle. There was no fishy smell or taste and it paired very well with the wine that our waitress so kindly suggested to us. The cake was also very good and moist. It was served with lemon curd and whipped cream which felt like clouds. Overall food was amazing and service was also amazing, as our waitress continued to check in on us.",15,162
Jacq M.,11/17/21 20:01,1,0,0,0,5,"Food and service were awesome. Patio is a wonderful spot for people watching in downtown.  Decided to stop and eat here on our way to check-in to a local AirBnb. When we got there, we discovered this restaurant was also highly recommend by the cabin's owners as a local eatery. Serendipity!",20,4
J E.,11/18/21 22:28,4,0,0,4,5,"I came here one evening and sat at the bar for dinner. The bartender was great, very friendly and helpful and was very skillful with his cocktail skills! They have an interesting menu, loaded with some really nice Italian/Mediterranean style eats. Prices are decent, but on the slightly high side.

I started with their Greek salad from their specialty menu and it was outstanding! Next I moved on to their hummus, which comes with their freshly made baguette and it was great! The texture of the hummus was a little more coarse than I prefer, but the flavor was great and the baguette was excellent too.

Their Red Wine Braised, Calamarata Squid Pasta dish was very interesting! The taste and spice of chorizo and smoked paprika was mostly what I experienced and I really enjoyed it. The squid was cooked perfectly and wasn't hard nor rubbery. For dessert I enjoyed their Pot de crème and it was outstanding! While there I tried a glass of wine and a cocktail and enjoyed both.

Definitely would return!",2898,94
Sarah L.,11/21/21 17:26,0,0,0,2,4,"My boyfriend and I came here for our anniversary when we visited Charlottesville. The restaurant is connected to a small local market and there is plenty of parking in the back. We really enjoyed our experience here. we didn't know what to expect but the server was very friendly and kind. We ordered the steamed mussels which were DELICIOUS! we loved the sauce so much we asked for bread to dip it in. The cocktails were also very good. I had the Rivera and my boyfriend had the pomelo. If you like fruity cocktails the pomelo is what I would recommend. 
For our food we ordered the peasant beef pasta and the red wine braised lamb. I expected the lamb to be lamb chops but came out a little different. But none the less it was VERY tender and very yummy. The pasta was also tasty. 

For ambiance I would give it a 4/5
For food I give it 4.3/5
Service I give it a 4/5 

We would defiantly recommend this place for those who love both Italian and Mediterranean!",230,755
Alex W.,11/30/21 1:03,0,0,0,0,4,"4.5/5. The food, service, and ambiance was perfect to celebrate my 5 year anniversary with my girlfriend. The staff was super friendly and did a great job explaining all the specials for the night. We ended up starting with the mussels followed by the peasant beef and braised lamb. Everything was super delicious especially the sauce for the mussels. My girlfriend couldn't help ourselves and ordered bread just to dip it in that amazing sauce. Highly recommend this place to anyone!",85,487
Lina J.,1/2/22 20:40,1,0,0,2,5,"This is my favorite restaurant in Charlottesville so far. Orzo consistently has great food and I love how the selections change in the passport menu. For apps, you just have to get the haloumi cheese - it is SO good. I have also enjoyed every single entree I've ever tried here. It may not be on the menu anymore but the squid pasta was amazing *chef's kiss*! 

In the summer months, I love sitting outside on the patio. The lighting and plants make it a super cute little alcove to enjoy a fantastic meal in. I will be back often! The interior is cozy as well - I love the low lighting and color scheme. I will be back as often as I can!",272,206
Jennifer M.,1/27/22 22:21,2,0,0,0,5,"Orzo is one of our fave local restaurants! Their food is always solid. My fave is the spaghetti pomodoro.  The hummus and bread is incredible.  Just thinking about it makes me crave it! 

They have a good wine selection and a full bar.  One of the few places in town to carry Ken Wright, my fave vineyard/winemaker! 

If you haven't been recently definitely go check it out.  We love to sit at the bar and talk to the owner aka the bartender.  You know a restaurant is great when the owners take turns actually working in the restaurant.",165,26
Krista R.,2/6/22 15:19,1,0,0,2,4,First time coming here on a whim with a friend for drinks turned into dinner. I decided to order some food and boy this place did not disappoint. The butternut squash soup was PERFECT! It was the perfect dish for a cold winter night for an app. I then ordered the steak which just melts in your mouth. I couldn't get enough. The service was good and drinks were also amazing. It was a great place to get a few friends together for drinks and dinner. Will def go back,247,352
Beth V.,3/15/22 15:56,0,0,0,0,5,"Has been one if my favs since they first opened!  Consistentply great food, excellent beverage selection, staff always seem to really enjoy their jobs!  Can't wait to go back next week.",45,119
Conner S.,3/27/22 15:52,1,0,0,0,5,This is a great place to go get food and wine. The best part was their features rotate monthly based a different Mediterranean region!,8,394
Linda G.,3/29/22 23:42,0,0,0,1,5,"My husband  & I were visiting our daughter's new home in Charlottesville, VA  and decided to venture our for dinner.  After looking online we decided to try ORZO's since it was very close.  Upon arriving on a Tuesday night,  we were told all the tables were sold (we did not have a reservation) but the bar was available for dinner.  So we took two chairs at the bar and had the one of the most awesome dining experience's ever!!!!      The best part was the nice break between the appitizers and the entree.   Seems wherever we go the entree comes out right on top of the appetizer.  This place is run to perfection!!!  Food and drinks were Great!   Special Thanks to Ken for making us feel like we were dining with family.  Can't wait to go back!  

Linda & George",2,0
Ryli C.,4/11/22 22:36,1,1,1,6,5,"Excellent experience here. From the friendly wait staff to the relaxing patio atmosphere, this checks off all the boxes. I keep telling myself to branch out to different types of cuisine and I'm glad I branched out with this  Mediterranean inspired fare. 

I took all the recommendations from the waiter (Nick I think his name was?) - the Pomelo cocktail, the lamb dish, and the Spanish olive oil & rosemary dessert. All *chefs kiss* delicious. I probably wouldn't have chosen any of these just by looking at the menu, but so glad it's what I ended with. 

Reservations are recommended - I grabbed one at 5:15 and it filled up pretty quick after I sat down. 

Just can't say enough good things about this place.",200,44
Lindsey V.,4/16/22 23:26,1,0,0,1,4,The atmosphere of this place is chill and classy. I came with my parents and all three of us were very satisfied with our meals. My steak was cooked perfectly. Would definitely return to try more.,105,10
Amy B.,5/23/22 9:09,0,0,0,0,2,"Sangria was lousy. Food was meh..
For the price I expected a whole lot more. Would not go back",18,0
Kimberly M.,5/31/22 17:13,0,0,0,1,3,"1 Star for the food and 2 Stars for great customer service.  Nothing we had was exciting nor over the top.  Sadly, the bread was the best thing we ate.  We had the lamb tagine, cod & the halloumi.",30,0
Olivia W.,6/16/22 16:49,1,0,0,2,5,"Really good food, you would never know it from the outside. Orzo does classic Italian with a twist and everything we tried was really good. I ordered the lamb and it was amazing - and the portion was huge, I finished maybe half of it. We also tried the bruschetta which was so good - crispy and flavorful.

Can't recommend it enough!",594,142
Kelsey W.,6/19/22 14:01,0,0,0,1,5,"This was our first time dining at Orzo and it was simply incredible! The main thing we raved about (both during and long after dinner) was how flavorful all of the food was. 

The Food
Our sever recommended the grilled halloumi cheese and I would be lying if I said we still aren't thinking about it 3 days later. Such a unique and delicious dish--I wound up drinking the remaining broth with a spoon, it was THAT good! I indulged in the summer orecchiette pasta which was so light and flavorful with delightful pops of broccolini, tomato, and chickpeas. The lemon ricotta was subtle and added just enough creaminess to the dish without making it too overwhelming. My boyfriend ordered the spice rubbed pork chop and we both agreed it was the most delicious pork chop we've ever tasted! The crunchy sear bursting with flavor perfectly complimented the juicy interior--it was quite an experience. We also had a small tray of appetizers olives which will surpass anything you'll buy jarred in a grocery store. I could have snacked on them all day. We wrapped up dinner with a classic tiramisu, perfectly portioned to share between the two of us. Lastly, I ordered the Napoleon's Loss cocktail with perfect ratios of tequila, ginger, and lemon. A nice heavy pour and tasty candied ginger garnish--delish! 

The Service
We absolutely loved our server and I am so sad I don't remember his name. He was so pleasant, accommodating, and knowledgeable of the menu. We have absolutely no complaints. Early in the night, a different server dropped off a drink saying it was the Napoleon's Loss, but within seconds of me about to sip it, I believe it was the manager who ran over and told me it was wrong drink and quickly went to get me the right one. The level that the staff cares about their customers was abundantly clear, and we felt very well taken care of.

The Space
Parking was a breeze. We parked in the lot next to the building and didn't have any issues finding a spot at 6:30pm on a Friday. There was a shaded patio which looked airy and fun, but I had made our reservation for inside. The inside was intimate in appearance and a little loud with the acoustics, but it was not difficult to still enjoy our anniversary date. 

Thank you so much, Orzo, for a wonderful experience! We can't wait to come back the next time we are in Charlottesville.",245,319
Christy B.,7/6/22 18:43,0,0,0,2,4,Great covered outdoor patio. Tons of free parking in the adjacent lot. The lamb ($30) was incredibly tender but could've used a bit more seasoning to balance out the sweetness of the figs. The bolognese ($19) was delicious and perfectly al dente. The burrata ($12) over a bed of farro with a balsamic glaze was a good starter to share. Tiramisu ($8) was the best thing we ordered.  Incredibly light and airy in texture.,112,268
Bri J.,7/27/22 14:40,0,0,0,1,5,"Came in with two friends for a dinner with reservations on the patio. Staff was friendly. I had the steak, which did take awhile to prepare as stated on the menu.

All of us had tasty meals and left very full and happy with our meals. Prices competitive, but overall bill felt high. Definitely a get what you pay for situation -- and in this case it was a truly delicious dinner.",458,112
Lisa G.,8/2/22 12:34,1,0,0,1,4,"Delicious food, good service and nice atmosphere. We chose this for a Friday night on a girls' weekend trip and vibe felt just right.  The pace is pretty slow, which was fine for our group. 

One reason this loses a star is two of us ordered cocktails that weren't great. I got the pasionaria, which is somewhat like a margarita with tequila, elderwater flower liquor and rimmed in harissa salt. I didn't like the salt at all and would have greatly preferred a simpler margarita. My friend got the ravello and she didn't like it. I took one sip and it jerked me back; I was expecting a strong lemon flavor but it was just like an alcohol burn without any pleasant flavor. 

Now, the peasant beef and pork bolognese was so good! The portion was smaller than I expected (all entree servings were), but it was rich and enough for me and I would definitely order again.

For dessert, we shared a chocolate pot de creme and omg! Again, it looked pretty small to share at our table, but it was so rich. I think I made a verbal yum sound after each bite.",215,13
Karey M.,9/16/22 21:33,0,2,2,0,1,"Was excited to try this place. Walked in about 4:15. First person to speak to us was over by the bar and we asked him innocuously whether we could sit anywhere.  He said, in a rude tone, ""Nope.""  I felt a little awkward and asked if we should sit outside. He said, ""I am giving you an option.""  I asked to sit at the bar.  We felt so put off and dazed. 

I worked in the restaurant service for several years. I understand what it's like when patrons are rude or entitled. For what it's worth, we were not like that. We just walked inside a dark and totally unoccupied restaurant. Not another soul around. 

Whatever we did when we entered made that individual quite annoyed. Or maybe he was already annoyed. We will not be back because of it. 

Turns out he was the OWNER!!!  

Shame on him. Food and wine was not worth making to feel like we were second-class citizens.",19,0
Ashley S.,9/25/22 14:19,1,0,0,1,5,"This is my favorite restaurant! I am in the Richmond area so it's about an hour drive from home, but it's so worth it! My husband and I come to celebrate our anniversary and we have always felt so special and welcome here! The food is to die for. I don't know how this place doesn't have lines out the door! It's amazing!",10,123
William C.,10/13/22 0:07,0,0,0,0,5,"We enjoyed a wonderful dinner at Orzo. The salad and Halumi appetizer we're fantastic. The fish of the day, a salmon was superb. The mushroom pasta dish was super.",115,3
Autum W.,10/13/22 1:09,0,0,0,0,5,Yum is all you need to say!! Service was great! Server was very knowledgeable about menu. Ambiance was great. We sat outside and it was perfect. Humans app was very good. The steak was heavenly and not a bite was left. Would go back for sure!!,11,53
John C.,10/23/22 22:22,0,0,0,0,5,A fantastic meal   The veal shank melted in your mouth. Service was outstanding. My wife's risotto was perfect. I highly recommend this establishment,74,2
Venkat M.,10/28/22 3:25,0,1,1,0,2,"Food gets 4 stars. However from the moment we arrived our waiter said ""let me get your drink orders in because we are backed up,"" to ""do you know what you want to eat because we have some
Large parties coming in soon,"" ""are you finished with these plates?"" We had literally
Been there 15 min before ""do you know what you want because we have large parties coming in."" Well you know what Orzo? Doesn't matter that we are a party of 2 or 2000, I'll be spending a good amount of money here and this is a dinner to recruit more professionals to the area - so your party is irrelevant to me. 

Will probably not come again!

‍",64,113
Lakeisha M.,11/3/22 12:39,0,0,0,1,5,"The service was great and the spaghetti was amazing (if you like Margherita pizza, you'll love the spaghetti). If you're driving through or you're from the area, you should definitely give this restaurant a try.",146,29
Kristin G.,11/11/22 13:42,0,0,0,0,5,"Everything was amazing when my fiancé and I went here. We sat outside. Our server was great, offered great recommendations. 100% would go back anytime. Great place for a date and delicious hardy food, wine and dessert. 10/10.",12,0
Eric W.,12/20/22 14:04,0,0,0,0,3,Back in Charlottesville and had dinner at Orzo. The place has a cool atmosphere and the food is good. A little pricey but a nice place.,127,0
Kat Z.,12/29/22 4:30,0,0,0,1,5,"I'd come again! We ordered the risotto and the lamb. The cut of lamb was a bit lean and was slightly lacking in carbs (just a few fingering potatoes) but the risotto was new and exciting. 
What was lacking in the lamb was made up for by the service. Our waiter was attentive, and the place was cozy. Great place a for a date night.",57,8
Libby B.,1/1/23 22:34,0,0,0,2,4,"My fiancé and I came here for NYE dinner. We made reservations online which was easy. It was nice inside, kitchen is open which is cool so you can see them cooking. Where we got seated was against the wall, chair/booth style table for two's and that felt a little close to the tables next to me. For drinks I did the Ravello which was too sour for me and then my fiancé got the Orzo sour which he said was good. For dinner, I got the peasant beef and pork bolognese which was delicious! My fiancé got the pork chop which was really good too! We also got half a baguette with olive oil and that was yummy. For dessert, I got the tiramisu, such a classic and my favorite!! My fiancé did the lemon cake which be said was okay. Overall, good food and bring your wallet cause ya ain't dining cheap here!",372,171
Emma E.,1/10/23 2:05,0,0,0,2,4,"I have to knock Orzo down a peg because I just feel like the food we've had recently hasn't been as good as it used to be.

We came in recently for a date night, and noticed the food hasn't quite kept up. The grilled halloumi cheese appetizer was fabulous, but the entrees leave much to be desired. We had the lamb shank bourguignon and the grilled prime sirloin steak and unfortunately both were just meh. The lamb was cooked very well, but our overall impression was they were both pretty boring. The flavors were run of the mill. I will dream about the pork medallions I had last year - one of the best meals I've had. Until that comes back, the rest of their entrees seem to be good, but not great.

The service continues to be fabulous, every time I've been our server has been great. I have noticed other reviews that have commented on the host being rude, and have noted this in interactions with other guests. My recommendation would be to make sure you have a reservation before coming in, and definitely show up on time - they seem picky.",249,18
Erica S.,2/8/23 23:48,0,0,0,1,5,"Great ambiance. The bolognese was delicious and a great portion size (I wanted to lick the bowl but refrained), and the drink menu also had great variety.",56,1
Tiffany L.,2/17/23 22:19,1,0,0,2,4,"This is one of those long standing Charlottesville restaurants that knows how to create a true dining ""experience."" The ambiance is warm and inviting, and all of the staff know just how to take care of you! The menu is simple with rich, satisfying foods. However, I do wish that the entrees were more ""well rounded"" (E.g. I had the excellent lamb shank but wished it came with more sides to accompany the very heavy dish!) They also have an extensive wine list and cocktail menu. This is a great place for both business meetings or date nights!",1365,139
Sarah M.,2/20/23 1:41,0,0,0,0,3,"Was a huge fan of this place until recently. Walked in to see if my group could snag a table and the host barely acknowledged us! Kind of rude, and I hate leaving a bad review. I'm sure they were just really busy, but you never know what customers are regulars. You may want to be a kinder in the future...

Otherwise good here is delicious. Just wish our most recent experience was better",29,571
Melissa B.,2/25/23 22:52,0,0,0,0,5,"The ambiance is amazing it's a rustic modern look. The wait staff is amazing they know their stuff. We started with the Haloumi cheese which OMG was sooo good. I had the bolognese my wife had the duck, these were absolutely amazing and a definite must. We got desert which was the flourless chocolate cake with orange mascarpone. It was phenomenal!",308,118
