,,Author,Date,Cool,Funny,Useful,Rating,Message,"Author Reviews","Author Friends","Author ID",Location,"Profile URL","Profile Photo",URL
11,,"Matt D.","2018-03-27 20:21:57",2,0,0,1,4,"The Virginian is a staple for UVA students and local Charlottesville residents. 

The menu is nothing more spectacular than typical bar food, but all dishes are done well and offered at a reasonable price. My favorite item off the menu is the mac n cheese, which is creamy and delicious, topped with a crispy hash brown. Additional common menu items like quesadillas, burgers, sandwiches, and fries are all served at a higher quality than most competitors, and everything they serve is enjoyable! 

The restaurant is also a well known for its bar, which has different drink specials every day of the week. At night time (typically after around 11pm after the kitchen is closed), the restaurant converts into a full bar. They play great music (with playlists filled with crowd-pleasing throwbacks), encouraging people to dance on tables and have a great time. 

Some of my favorite memories as a UVA student have been at The Virginian, as both a restaurant and a bar!",38,487,kHnJFCQIvFf1anlIxBMNHQ,"Charlottesville, VA",https://www.yelp.com/user_details?userid=kHnJFCQIvFf1anlIxBMNHQ,https://s3-media0.fl.yelpcdn.com/photo/8SUf_EbKfJeixnTEY_FvXA/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
12,,"Evan P.","2018-04-16 14:45:59",1,0,0,1,4,"This place is a local legend. As visitors, our guide (a UVA grad) shared that this was a must (and several alumni agreed). The Virginian is a cozy location that had delicious food (the Mac N Cheese is amazing) at more than reasonable prices. They have your standard American cuisine - burgers, buffalo chicken sandwich, ribs, wraps - and everything was tasty. The drinks were strong, the staff was friendly and attentive, and we really enjoyed the laid-back vibe. If you are looking for something good, reasonable, and that is comfortable and unpretentious, then the Virginian is worth a visit.",1102,155,qy8DP0GZ4KIsNdnepjSLZQ,"Washington, DC",https://www.yelp.com/user_details?userid=qy8DP0GZ4KIsNdnepjSLZQ,https://s3-media0.fl.yelpcdn.com/photo/B-ZhlIaK06ftQpAxLk6lrQ/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
13,,"Novianti B.","2018-07-22 19:29:13",0,0,0,1,5,"Love love love love love !!!!! Their mac&cheese is the legendary must have food! Friendly bartender and servers too",240,7,7G3ofzfR4xeFmoZxx-vZyw,"Charlottesville, VA",https://www.yelp.com/user_details?userid=7G3ofzfR4xeFmoZxx-vZyw,https://s3-media0.fl.yelpcdn.com/photo/npqcyO8EBIg82n4F3Rq4TQ/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
14,,"Paul P.","2018-09-22 01:16:22",0,0,0,0,1,"This seemed to be a great place to go grab a drink. As for the food, my meal was horrible, and service was subpar (at best).

I had the 'famous' mac & cheese as a appetizer. It was very very bland and made me ponder on what was so famous about it anyway???

For dinner, I had the crab cake sandwich. The bun seemed hard / old, the crabcake was properly cooked, but again very very bland. The arugula sauce did not have the kick that one would expect and did not add any enhancements to the flavor profile. With that being said, I had to share mine sauce with someone else at my table as they did not receive their container of arugula sauce with their cab cake sandwich. We would of asked for more but we had to ask for multiple other missing items beforehand, and it was few and far between when we saw our waitress.

For my sides I had fries which were not bad (maybe packaged season fries???)

My other side was french onion soup... I finally figured where they were storing all of their spices!!!!!! They should reconsider renaming this soup as salt onion soup. I LOVE french onion soup and order it almost every time I see it on menu. This is hands down the absolute worst french onion soup that I unfortunately have tried. All you could taste is salt... nothing else.. I could not finish it with fear of having a stroke, and it was just god awful bad.

Then after patiently waiting for our bill (once again feeling forgotten about by our waitress), we asked her to split the bill and kindly told her who had what (because she really did forget). Her world still seemed somewhat rocked having to do this.

She then came back with out respective bills and of course did not have it right. I ended up with all the appetizers. I ended up just paying for them all because I was beyond done with this place by then, and had places to go.

To my understanding this is Charlottesville's oldest restaurant. From older reviews that I read this seemed to once be upstanding place to eat at. I would imagine that either ownership has changed, management, cooking staff, and/or recipes/ingredients... Maybe all of above??? 

Needless to say the only thing keeping this place a float is it's location and bar. As it stands I will never go back for food unless some serious changes are made. So sad....",16,0,qZAaw4BK2qlBjypqL_lWBA,"Cary, NC",https://www.yelp.com/user_details?userid=qZAaw4BK2qlBjypqL_lWBA,https://s3-media0.fl.yelpcdn.com/photo/ytwBAB8QGpc9cy2lIfN7nA/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
15,,"Anna Z.","2018-11-11 16:24:17",0,0,0,0,4,"The brunch is pretty tasty, I highly recommend the biscuits, they are buttery and delicious! The sourdough toast with poached egg and avocado is okay.  The scrambled eggs were tasty, very good if you add some cheese! The service was a bit slow.",90,19,dCS85AF8VtooBATZX9vx2A,"Washington, DC",https://www.yelp.com/user_details?userid=dCS85AF8VtooBATZX9vx2A,https://s3-media0.fl.yelpcdn.com/photo/trxZw7p4pLx6Tqu0q4djyQ/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
16,,"Anh-Thu V.","2019-02-02 03:13:56",0,0,0,0,5,"If you go to Virginian you have to get the Mac & cheese!! The potato cake provides the perfect amount of crunch. It is one of my favorite items and I will go to Virg just to get Mac& cheese instead of getting a main dish. Everyone I know loves it.",31,338,AuuxMQPmaOGj_qoVmhSsyg,"Geneva, Switzerland",https://www.yelp.com/user_details?userid=AuuxMQPmaOGj_qoVmhSsyg,https://s3-media0.fl.yelpcdn.com/photo/SPNLwy-7syTFroCaCpzH-w/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
17,,"Mike M.","2019-02-09 02:50:17",0,0,0,1,3,"The food is average. I had the French onion soup, which I would skip next time, with the fish and chips. Priced at $10 the fish and chips were okay. I wouldn't order them again. The fries were sub par (soft, undercooked) and the fish was crispy but the breading was too heavy. I do think this place is good for bar food, but not for a solid meal. The beers on tap were $4 during happy hour which was great. That being said, the mac and cheese did live up to the hype. It was quite good...cheesy...would order again. Go get a beer and mac and cheese and you will not be disappointed.",115,394,X3YDPbm6Oy_s2IJjJ6PTnw,"Portland, OR",https://www.yelp.com/user_details?userid=X3YDPbm6Oy_s2IJjJ6PTnw,https://s3-media0.fl.yelpcdn.com/photo/aLMpUb0JFBR_IeZiGOmSXw/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
18,,"Rohan A.","2019-02-19 21:28:05",0,0,0,1,4,"Came in between classes today to the Virginian. This place offers a lot of history dating back to the early 1900s. The overall ambience really reflects that. The service was very swift at around 3/4pm.

I preferred the chicken philly which was delicious. The meal came with fries which I personally thought were a bit too salty. We also ordered the famous Virginia club which was very average.

Overall this place reflects a great historic casual restaurant with very average food.",53,140,ox-AXnJvbMnuQI1_akda4Q,"10th & Page, Charlottesville, VA",https://www.yelp.com/user_details?userid=ox-AXnJvbMnuQI1_akda4Q,https://s3-media0.fl.yelpcdn.com/photo/9KP2LUpPk8uXCwc2EcHROQ/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
19,,"Laura G.","2019-03-18 23:02:41",0,0,0,0,4,"We came to The Virginian on a Saturday for lunch. We were visiting the university and someone recommended us to go eat here. When we came maybe half of the restaurant was full. The hostess/server was very nice and sat us at a booth. My boyfriend got one of the local IPAs that was actually pretty good! For appetizer we got the spinach and artichoke with pita bread and it was really good! The dip was made in house and had a pretty decadent flavor. For our mains I got the grilled cheese sandwich with fries and my boyfriend got their Virginian burger. The sandwich was decent, but a little dry - nothing life changing. Fries were seasoned well. My boyfriend ordered his burger to be medium rare but it came out medium-well. He didn't complain as the burger as a whole was really good. 

I understand the restaurant is a bit of an institution around these parts so by that standard the place didn't really wow us. However, the drinks and food were a great deal for their prices. We ended up paying 33 dollars for a beer, an appetizer and 2 mains, which is so cheap! Might come here again if ever in the neighborhood, but mostly for the great prices",107,183,TlRHUQXh0HWsuF0cuQ90BQ,"Charlottesville, VA",https://www.yelp.com/user_details?userid=TlRHUQXh0HWsuF0cuQ90BQ,https://s3-media0.fl.yelpcdn.com/photo/TI1x88uVhINdTn2OVmSOpg/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
20,,"Clay G.","2019-05-10 13:26:48",0,0,0,0,4,"The Virginian has a rustic vibe with darker colors and lots of wood.  It feels almost old-timey.  When I walked in for lunch, I was seated almost immediately.

I ordered the buffalo chicken sandwich.  The crispy chicken was just crunchy enough that it made for a great contrast with the soft bread while still having enough chicken to be chicken.  The fries, however, were the best part.  They were well seasoned and the flavor just popped.  I'd recommend stopping by for lunch if you're in the area.",703,167,_-Qler8ebFL040wQAIUGPA,"Chicago, IL",https://www.yelp.com/user_details?userid=_-Qler8ebFL040wQAIUGPA,https://s3-media0.fl.yelpcdn.com/photo/DoyGTWjzG99W0QvaO64PPw/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
21,,"Sam B.","2019-06-20 00:05:18",0,0,0,0,4,"Food was fantastic!! Fries were amazing, BBQ was pretty decent. My girl's salad was great too. Very kind service, super great people, and totally fun atmosphere!! Good place for a bar setting-type date night or night with the homies.",134,2,REdCglyT_yy3cQd5TX5A6w,"University, Blacksburg, VA",https://www.yelp.com/user_details?userid=REdCglyT_yy3cQd5TX5A6w,https://s3-media0.fl.yelpcdn.com/photo/znvReXnHGctEtthOAkNrwg/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
22,,"Jennifer E.","2019-07-10 17:07:17",0,0,0,1,5,"The restaurant is casual, pleasant and the food is delicious! The wait staff is responsive, courteous and service is 'with a smile!' The brownie sundae is warm and delicious! (And it's huge! Definitely share with a friend!) Stopped in by chance and will definitely recommend to friends! Will go back the next time I'm in Charlottesville!",65,2,aJkd_FuuziL2p2yNkEFW8g,"Orange Beach, AL",https://www.yelp.com/user_details?userid=aJkd_FuuziL2p2yNkEFW8g,https://s3-media0.fl.yelpcdn.com/photo/YnzwFYQHFi4BcGY0QaT7qQ/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
23,,"Hayden-Anne B.","2019-09-26 14:21:41",0,0,0,0,5,"Favorite restaurant on the corner! The Mac and cheese is my favorite in the world. The portions for the Mac and cheese are large too. I love sitting out on the sidewalk to people watch everyone going by on the corner. This is a good place to take parents when visiting at UVA and meet up with friends.",176,557,HmBaiWduT9yH5XmOL8FNvA,"Glen Allen, VA",https://www.yelp.com/user_details?userid=HmBaiWduT9yH5XmOL8FNvA,https://s3-media0.fl.yelpcdn.com/photo/ZniscCqNM4B7CD3aREgkUw/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
24,,"Jo L.","2019-10-20 21:44:32",0,0,0,0,4,"The Virginian's ambiance is homey and warm, and their food is pretty good as well. The $5 Mac and cheese was a little expensive for the amount I got, but their entrees were more worth the price. Overall, the place was nice to try, and I'd probably come back if friends wanted traditional American food in Cville.",400,12,k0v1tG5Tu9eXirZwomtoXw,"Fairfax, VA",https://www.yelp.com/user_details?userid=k0v1tG5Tu9eXirZwomtoXw,https://s3-media0.fl.yelpcdn.com/photo/NEo9cCJuQo12bSQ72_oPpQ/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
25,,"Lauren G.","2019-11-02 05:10:39",0,0,0,1,4,"Four stars is mostly for the atmosphere, service and vibe. We loved our bartender - a friendly fellow who had such charisma! I'd come back here just to give him some business. I wish I could remember his name (very uncommon name). 

The ribs were SO tender and really fantastic. You could barely touch them with your fork and the meat just falls off the bone leaving it flawlessly clean. Delicious!

The mac-n-cheese, which this place is apparently known for, was really underwhelming. It was creamy, but it had almost no flavor. Just tasted like a bowl of creamy noodles, lacking cheesy flavor/boldness, and also didn't have enough salt. The potato cake fritter thing on top was dense and also flavorless - ours tasted overcooked or perhaps not fresh. 
The sweet potato fries were meh. 
The French onion soup wasn't super hot and was just OK. 

So...why four stars if we didn't love the food that much? COOL atmosphere, a true college town establishment with a lot of history and a great vibe, friendly people (both staff and patrons - we made so many friends just sitting there for dinner!), great conversations, and a really fun night.  I'd come back here again in a heartbeat.",172,103,_4RxBJKzuLaDRRededBxzQ,"Friday Harbor, WA",https://www.yelp.com/user_details?userid=_4RxBJKzuLaDRRededBxzQ,,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
26,,"Helen L.","2019-12-11 17:27:16",0,0,0,0,5,"I got the pork bbq sandwich with fries and it was delicious! The food came out faster than I expected. My friend ordered the Mac and cheese and she really enjoyed it too.",4,255,KJ-td8HKv80wuToANLaFzQ,"Roanoke, VA",https://www.yelp.com/user_details?userid=KJ-td8HKv80wuToANLaFzQ,https://s3-media0.fl.yelpcdn.com/photo/Z_kS6i3Bt3NhHtOED0f_VQ/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
27,,"Vanessa T.","2020-01-13 23:27:35",3,5,5,5,4,"I was working across the street at the hospital and decided to come here for some quick lunch. I was going to order to go, so I didn't experience their full restaurant experience. 

I got their spinach and artichoke dip that came with pita bread. It was really good! It was creamy and warm when I got it. The portion was enough for 2-3 people. I also got the BBQ Chicken salad which was really good. The chicken was lightly charred which gave it a bunch of flavor. 

The restaurant is a bit small and narrow so it was a bit crowded near the entrance area. The service was good, they were accommodating and informed me of the wait time for the food. The food itself was great!",754,447,Qx7ebWeFBk1AIqT1mlvZ-A,"Irvine, CA",https://www.yelp.com/user_details?userid=Qx7ebWeFBk1AIqT1mlvZ-A,https://s3-media0.fl.yelpcdn.com/photo/cRBNeFKcb5dZ8z8Pc1ND8A/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
28,,"Brooke G.","2020-01-28 15:33:17",0,0,0,1,5,"The bbq pork nachos are to die for!!! Visited this past weekend and was thoroughly impressed! Super friendly and ""team oriented"" staff. When  one waitress was busy I noticed the manager always steps in to help! Definitely will be back!",8,109,eqObo19FcFYkibgmwQdChw,"Hatboro, PA",https://www.yelp.com/user_details?userid=eqObo19FcFYkibgmwQdChw,https://s3-media0.fl.yelpcdn.com/photo/JxiilOLyJsadyzQ-ZNEUHg/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
29,,"Jason B.","2020-07-24 03:12:12",0,0,0,0,5,"Amazing spot that we found on our way home from vacation on the east coast.  We love finding local places and non-chain types.  This was the perfect stop.  

Don't blink, our GPS almost took us past it.  Great music from the 60's an 70's playing on the radio.  Very friendly service with a smile that were very attentive to our table of three.  Ordering from the menu was through QR code that was posted on the wall of the booth.  No modifications to shorten their menu, just took it digital...don't worry they had printed as well if you're still rocking the flip phone.  Nice low lit establishment for the hour that we were eating (8pm) that really added to the atmosphere.  

Service was FAST.  Food came out FAST and perfect the first time.  

I had the ceasar salad with the grilled tuna.  WOW.  Just absolutely spot on with the cooking and came out perfect.  Fresh shaved parmesan cheese and a very mild dressing that wasn't overpowering.  

Definitely will pass through here again to dine and check out more of the menu.",3,0,Nl53aRbkk7isgUMWtc8cSw,"Staunton, VA",https://www.yelp.com/user_details?userid=Nl53aRbkk7isgUMWtc8cSw,,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
30,,"Jillian D.","2020-07-24 18:58:37",0,0,0,0,5,"Delicious Mac n cheese! Blueberry Cider was very
Good. We had the potato soup and the French onion soup. Both were very good. Music was nice and family friendly. Indoor and outdoor seating available.",7,0,lC_ZHj6VJJNHNHUv60cazg,"Uniontown, PA",https://www.yelp.com/user_details?userid=lC_ZHj6VJJNHNHUv60cazg,https://s3-media0.fl.yelpcdn.com/photo/I0h-5NMpuwMI9VK8lFF2ng/180s.jpg,https://www.yelp.com/biz/the-virginian-restaurant-charlottesville?hrid=
