,,Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,(view source)
11,,Mae B.,02/09/12,,,3,3,"I want to love Duner's, I really do. I've been there maybe 10 times in the last 2 years, because it's convenient, and because the very first time I went, I had a pasta dish that knocked my socks off. I've been trying, in vain, to recreate that first magical meal.
Duner's seems to be somewhat hit or miss. The food is never BAD, it just often misses the mark, especially on the main courses. I can't figure out exactly what the problem is, but my dining partner agrees completely. Often it seems like a dish is missing maybe just one ingredient that could have pulled the rest of the dish together, instead leaving you with something that seems like it should be great, but instead came out just ok.

Also, the salad dressings are often pretty poor. Avoid anything that sounds a little more exotic, and stick with ranch or something else basic. I've had a feta-basil dressing and a green goddess dressing that were just awful.

The best things on the menu are the appetizers, which are consistently excellent. The fried panko oysters and the steamed mussels are excellent. The homemade bread is great. Soups are also good--their gumbo is outstanding.

Also, we had a dessert there recently that was out of this world--Warm apple crisp with pecan streusel topping, whipped cream, and vanilla sauce. Best dessert I've ever eaten. Kudos to their pastry chef.

A few other criticisms: they're going to charge the prices they do, they really need to update the interior of the place. The booths are really old, scarred up, and uncomfortable; the flooring is outdated and grungy, and the bar badly needs to be replaced.  At the very least, they need a paint job in there. I hate paying $70 plus dollars for a meal for two in an interior that deserves about $15.  It's also incredibly crowded in there if you sit at a table and not a booth. 
And finally, the service varies wildly. We've had nice waitstaff, and borderline rude waitstaff. In general, it's also slow, so don't go if you're in a hurry.",15,1,view review
12,,Annamaria K.,11/05/14,,,2,5,"We wanted to try this place over 4 years now but always been too hungry to wait for a table for an hour...this time we got there late (8:15pm) we ""only"" waited 25 mins for our table. It worth every second of wait. 

They have a reasonably good wine selection with very reasonable pricing. 

The chicken flatbread was a great appetizer for 3. 

I had the veal sweetbread with caramelized onion and smoked bacon mashed potato  and my date/husband :) ordered the seared salmon. Both entrees were phenomenal!!!

Bottom line, eat a late afternoon snack before you go to hold you over the long wait. But every second of wait worth it! Promise!!!",31,1,view review
13,,Elizabeth F.,31/10/14,,,2,4,"I have always enjoyed this restaurant.  Understated, elegant and always a great meal.    I am sorry I no longer live in the area and can no longer dine here as frequently.",691,162,view review
14,,Don C.,03/07/15,2,1,4,5,"Outstanding...exclusive intimate restaurant only open for dinner on weekends. Food and wine gourmet, local, it was great. It's a $100 for two special dinner place. Get there early... Opened at 5:00, we got there at 530 and was filling up... So, enjoy!",183,5,view review
15,,Alexandria T.,29/08/15,1,,1,4,"Duner's is a little bit of a drive out of the city down Ivy Road but is a Charlottesville staple. It was highly recommended by several people, so we decided to go there for a nice birthday meal for my boyfriend. It's a pretty cozy place, and the parking lot was full, so I was a bit worried we weren't going to be able to get a table. There was only one available when we walked in, so they were able to seat us right away. Just a note, they do not take reservations.

They have white cloth tables, so it feels like you are dining at a fancy place, but the ambiance created is a little bit off. The tables are pretty close together, and they need better lighting or something. I'm one that goes to a place more for the food than the ambiance, so I was okay with it. They served us warm homemade bread with butter while we were pouring over the menu. There were so many great options and the menu changes daily, so I couldn't plan out what to order ahead of time, and I had a very hard time narrowing down what I wanted!

We ordered a bottle of malbec from Mendoza. The appetizers were the easy part to agree on--we went with fried oysters and fried green tomatoes (a little birthday tradition of ours). The malbec was meh, but the starters were amazing. I loved the aoili that was paired with both dishes, and they complemented each other well. I'm on kind of a fried oyster kick, and these were awesome! Each entree comes with a side salad, and the dressings are all made in house. I went with the Russian and was slightly disappointed by it. For my main, I finally settled on the tuna. I ordered it chef's choice, and it was cooked slightly more than I would have preferred it. It was served over tasso, mushroom, potato, and kalmata olive hash. The hash was such an interesting combination of flavors, and the dish itself was super rich. The dish was done really well, but I couldn't decide if I liked the unique flavors. Now, thinking back to this dish, I actually really, really liked it. My boyfriend ordered the veal scaloppini and was a big fan. 

You should definitely check out Duner's for a nice meal--you can't go wrong here!",755,577,view review
16,,Hugh F.,09/11/15,,,2,2,"If you have two to three hours for dinner, then this is a great place for mediocre food! At least an hour to an hour and a half wait for the main course. The included salad is three pieces of limp lettuce drowned in dressing. Impossible to hear anything without shouting. 
There is a lot better out there.",4,66,view review
17,,Anna B.,21/07/16,,,1,5,"Fantastic first experience at Duner's! Given the outward appearance of the restaurant, I wasn't quite sure what to expect. Whatever they were, my expectations were blown out of the water. We ordered the halibut, salmon, trout and vegetarian entrees, and all (including the side) were amazing. Looking forward to returning in the future!

We went around 7:30 on a Saturday and only had to wait 15 minutes.",54,5,view review
18,,Suzanne B.,28/07/16,,,,5,I have never ever had anything other than outstanding food at Duner's. The service is friendly efficient and attentive. The menu is varied and the ingredients are fresh and prepared to perfection. I have never been disappointed.,2,5,view review
19,,Robin S.,30/08/16,,,,4,My husband and I really enjoyed our meal at Duner's.  The appetizers were very good.  We each ordered our own and we DEFINITELY should have just split one because they are enormous.  Big enough for an entree.  As a result I was a little full by the time my entree arrived.  My husband loved his steak with blue cheese and garlic glaze.  I had the Veal and pasta dish which was good but had a little too much parmesan for my taste.  It made the dish a little gritty.  The service was excellent and accommodating.  We would return.,398,40,view review
20,,Langdon L.,25/11/16,,2,2,4,"After driving by Duners many many times, we finally one night made the trip out so we could end the ritual of pointing and saying we needed to visit as we drove by. 

First impressions were positive of the very quaint building that wasn't fancy but had a clean, dressed up diner feel. I'm still unsure, but it seemed as though some people had reservations even though when I called I was told no reservations were taken. No worries, the bar and the very pleasant bartender was a nice place to wait as we started a bottle of wine. One thing that we both found interesting was that every patron seemed to also be eligible for AARP benefits.... they clearly had a target audience but it made it a much nicer, quiet ambiance. 

The menu was clearly seafood focused, but had a variety for all palates. The fried oysters appetizer was the highlight of the meal! I'm personally a raw oysters fan, but for the GF who isn't they were a good compromise. Our entrees were good, and the wait staff was pleasant. 

Overall I'd say this was a standard, typical dinning experience. It was good food, expected bill of just over $100 before tip (bottle of wine included), but without reservations and the drive out of Cville I don't expect to be back more than a couple times a year. 3.5 stars, but I'll round up to 4 since it's nice to see somewhere focused towards locals and regulars.",160,387,view review
21,,Noor S.,16/02/17,,,,4,Food was fresh and good. I ordered the Rockfish and it was delicious. My husband didn't particularly enjoy his side of potatoes  but his steak was good. Other dishes tried by our guests was duck which was not particularly very good and the other guest complained of over cooked steak. Overall a good experience and wonderful atmosphere. I am willing to go back and try it again.,5,50,view review
22,,Conan O.,03/03/17,,,,5,"Hardly a month passes without a visit for sit down or take out.

The place has been around forever -- and the latest chef is adding some interesting flavors to the old standards - fair amount of both asian and latin flavors

The menu is more of less the same each night -- crab cakes, Salmon, some white fish, trout, chicken, duck, pork chop, ribeye -- but 3 or 4 times a week the preparation is changed.

Desserts are great and the nightly wine specials are usually a good bet

Prices have gone up recently...

No reservations, so be prepared to wait.  Its worth it!",82,18,view review
23,,C F.,19/04/17,,,,5,"What an amazing restaurant, every time we come here we leave happy.   It's a delightful experience I love to bring my wife  on date night because their menu changes frequently and they always have something new.",167,15,view review
24,,Rob H.,04/06/17,,,2,5,"Duners was the perfect place to take our large party of seafood lovers, but they also had a mouthwatering choices for the meat lovers. I started with an order of four large grilled scallops in a perfectly spicy mango jalapeño sauce and the BBQ shrimp on spinach pierogis (sounds odd but absolutely delicious!). We also had fresh tuna, rockfish appetizer, delicious crab cakes, and fresh trout, but the star was the Beef Tenderloin with Warm Blue Cheese, smashed  potatoes and a red wine-bacon reduction. PHENOMENAL.  

The service was impeccable and we lacked for absolutely nothing. 

We saved room for dessert!!! 
I had a chocolate dome cake that was moist with mousse layers and a ganache-like shell.  My friend ordered the ""ice cream sandwich,"" - vanilla ice cream with apricot cobbler between brownie crusts. The best was a fresh strawberry shortcake smothered in  strawberries!",679,152,view review
25,,Bob S.,12/07/17,,,1,5,By far my favorite restaurant in cville. Tight quarters and be prepared to wait an hour on the weekends but more than worth it. Fresh fish and steaks with the best service team in town!!,16,137,view review
26,,Mike A.,20/07/17,,,,5,"A favorite restaurant we have not been to in years. Glad to say they have not lost their touch. My wife ordered 3 apps as a meal. Stuffed Squash blossoms over beet quinoa salad..excellent!  Also the roasted lamb salad. ..to die for! Last the country pate plate which was also perfect. The only possible down side is these apps were obviously meant to serve 3 or 4 folks ( huge but we were warned by our server) I had the buttermilk pork chops also perfect moist and tender. Our friends had the beef tenderloin and duck which were pronounced superb.  The only not great thing was the tomato soup (ok not a stand out) Overall portions were very filling.
Great service.  will return soon.",51,43,view review
27,,Reilly S.,23/10/17,,,1,4,"This restaurant is one of our family's favorites. We try to come here whenever everyone is in town and highly recommend it to any family wanting a nice meal out. The food is seasonal, great tasting, and generous. While the prices are a bit high, it's reasonable compared to other nice options in Charlottesville. The wait staff is incredibly personable, helpful, and hospitable. 

Some dishes that I recommend are the oyster appetizer, which comes fried golden brown with a great remoulade sauce, the homemade fettuccini with signature Italian sausage in a fragrant tomato creen sauce, the savory, herbed roasted duck, and the veal scallopini. This particular time we also tried the seared scallops with a light orange hoisin sauce, which passed our expectation.

Overall, this local eatery provides a great experience that cuts through the noise of Charlottesville's diverse food scene.",101,608,view review
28,,Michael G.,29/10/17,,,,5,We moved to crozet a little over a year ago and have wanted to try this place ever since. We finally had a chance this past weekend and were not disappointed. The service was excellent and food even better. I would recommend making reservations if possible as every seat was taken the entire time we were there.,5,,view review
29,,Owen B.,06/11/17,1,,2,5,"Holy crap Duner's was awesome and I cannot wait to go back! We went last saturday for her bday dinner and were stunned by everything we ate and totally loved the laid back relaxed atmosphere.

We started with a massive bowl of mussels in a garlic butter wine sauce. The mussels themselves were super fresh and huge. Great appetizer to share.  We also had a few draft beers from Devils BB. 

I had Crispy Fried Whole Flounder with korean bbq dippin sauce over veggie lo-mein.  Talk about unique!  I've never seen a full flounder on a menu.... snapper sure, but not flounder. Overall the dish was awesome and this was perfect. The crispy skin was the best part.  I found the korean bbq sauce to be very salty and acidic and didn't use any of it; however, the dish didnt need any extra sauce/flavor. 

She ordered the seared salmon over spinach and potato gnocchi with prosciutto and corn.  The fish was perfectly cooked, buttery and delicious, Overall the plate was incredibly rich and succulent and she scarfed it down in about 1.5 seconds. Hey, it was her birthday..... 
 
Perhaps the best part was lovely waitress. She share some terrific suggestions/highlights, was super friendly, and in true Duner's laidback fashion she wore a simple t-shirt, apron and jeans.",379,215,view review
30,,P L.,12/11/17,,,,5,"Fabulous restaurant and destination spot if you are in Charlottesville.  
The chef was very accommodating to my vegan diet and made a special entree for me.
They were very busy on the night we were in and our waitress seemed a bit stressed but in the end it all worked out.",33,,view review
31,,Matt K.,24/11/17,,,,5,"Excellent work team dinner at Duners. Great wine list, fast and friendly service and meals are excellent. I went with the chicken coq au vin, something that I rarely see on a menu, but historically very dry. Well, Duners perfected it - full of flavor, tender and juicy. Watched my coworkers polish off the rib eye steaks - great compliments. And just when one could not have room for more, the ice cream sandwich for dessert was outrageous. Make sure to give Duners a try.",151,,view review
32,,Lulu P.,12/12/17,,,1,5,"Duners is a Cville classic. We love this place for special occasions especially Mother's Day. The service is always excellent, the vibe is nice, the wine is great, the soft shell crab is to die for and their pasta dishes are always excellent. Don't pass on the bread because it's the best I've ever had in a restaurant! Thank you Duners for keeping it consistent! Don't ever change!",42,1,view review
33,,Shulamite L.,22/12/17,,,,4,"If you are looking for a flavorful and creative meal, this is your place. A friend and I shared an appetizer of calamari. Their dipping sauce was a garlic butter with horseradish. I had their rockfish with spinach gnocchi and bacon. My friend had their Ahi tuna with Asian flavored noodles. Both dishes were cooked well and had a lot of flavor, but maybe too many flavors going on. There was always one flavor profile we didn't like in each dish, but that is a personal choice. It is expensive, but the meal was definitely not boring!",33,157,view review
34,,Christina Z.,19/02/18,,,2,5,"Don't let the facade and casual ambiance fool you, Duners serves delicious fine dining comparable or even better than some of the most popular places on the Downtown Mall. With a rotating daily menu, food is prepared based on what's in season, and it's done very well. My husband and I are happy that we decided to come here for a special occasion. 

We shared the calamari which was lightly breaded and came with a ginger wasabi dipping sauce - a pleasant change from typical marinara or aioli sauces. I got the seared salmon, and it was perfectly cooked (not dry at all and with just the right amount of lemon beurre blanc sauce) and was accompanied by housemade gnocchi. My husband had the ribeye which was prepared at the perfect medium rare and upgraded to the special vegetable side of brussel sprouts and spinach.

Overall, deliciously prepared dishes, nice staff, extensive wine list, and lovely but not stuffy ambiance. Definitely one of our new favorite restaurants for special dinners in the area! I would recommend booking a reservation because it is unsurprisingly packed on the weekends!",360,53,view review
35,,vivian r.,06/04/18,1,,1,5,"Wow!!! Best dining in Charlottesville. The food here is better than Hamilton and Main, better than C&O, better than Public Fish...I could go on and on. I visited on a weeknight about 8:30. So, I didn't have to face the crowd. There was no wait. I still decided to sit at the bar. I started with the Brussels sprouts dish. It's not on the appetizer menu. It's listed as a side at the bottom of the menu. This was the star of the night for me. Most Brussels sprout dishes are roasted and have smoky flavors. Duners' take on Brussel sprouts was a subtlety bold flavor. And I imagine they were braised. It had delicious broth and was cooked with spinach...man so good.  Next, I had a house salad, which comes with the entree, and the house bread. I believe the bread is a sourdough. It was really warm and doughy just like I like my bread. Soooo yummy. The salad was standard fare.  I wished they tossed the salad for you. It would have made it easier to eat (the salad comes with a dollop of the dressing on top of the bed of greens). But once I tossed the salad and cut up the huge leaves, twas delicious!!! I had my salad with the mustard vinegariette. It was perfect. I really had a hard time picking an entree because everything looked delicious. But I went with the tenderloin and potatoes. Really really good choice. The star of that dish to me were actually the onions that accompanied the dish. But I love onions. I topped the night off with the dome cake which is best if you have someone to share it with. It's huge!!!! Totally forgot to take a picture. I said all of that to say Duners is phenomenal and is probably the only place among the top tier restaurants in Charlottesville that I would visit again. It's that good!",339,64,view review
36,,Pam A.,29/04/18,,,,5,"Seriously, I don't want to review this place because it's so good, I don't want want anyone else to block my chance to get one of the rare reservations here. We have eaten all around C'ville and this is the best!!",112,5,view review
37,,Marquis D.,23/06/18,,,,4,"I had an amazing time at this place. The atmosphere was very nice, quiet and intimate. My girlfriend and I came here based off of the reviews on yelp. After a long day of visiting near by wineries. I wanted to take her some place nice to get a great meal before we got some rest. This place was nothing short of what I expected. The waitress was very nice. The food was delicious. They could have been a bit more generous on the alcohol with the drunks. Also it's  pretty small dining area but as I stated before very intimate. Those are my only two downfalls about this place. I would definitely visit again if I were in the area. We had a house salad to begin. Shortly after there was calamari for the appetizer. For for entree I had the seared duck and lamb chops for my girlfriend. Topped the night of with a piece of ice cream  fudge cake. The food again was great. I would recommend that you try it.",4,,view review
38,,Natalie L.,24/06/18,,,,5,"Excellent food at a reasonable price. My dish, the grilled scallops, was cooked to perfection and complemented nicely by the gravy and quiche. Although the food preparation took a significant amount of time, the wait is well worth it for quality dishes. For dessert, the coconut cake was equal parts moist and rich. Very pleasant, intimate atmosphere. No complaints here!",9,23,view review
39,,Ara A.,20/07/18,,1,3,3,"I had the opportunity to try a couple of dishes so I think I got a great read on the restaurant. This review is mainly based on my dish the flank steak which ended being tough and flavorless. The soft shell crab dish was tasty, the lobstah halibut cake or should I say ball was just ok. The calamari was good the scallops app was tasty. The fried oysters were ok but I'm not a fan of fried oysters.",1106,212,view review
40,,Novianti B.,23/07/18,,,,5,"Great spot for dinner with loved one and friends. We went for a dinner with our friends and enjoy the dishes very well. The portion were big and shareable, we ordered couple of dishes recommended by the staffs. Highlight for me was the cheesecake but thats because i have an addiction of sugar in general :).",240,7,view review
41,,Valorie E.,27/08/18,,,1,5,"Always excellent.  The fried oysters, dumplings, mussels & calamari are all excellent starters.  I love the filet, pork chops, chicken & pasta dishes.  Such a cool place where you'll have people dressed to the nines at one table and people in a t-shirt at the next.  Service is always excellent.  Highly recommend.",219,451,view review
42,,Anne L.,17/09/18,,,,5,"My out of town friend and I went twice this week, thoroughly enjoyed both meals. We had the halibut, the halibut lobster cakes one night and the halibut lobster cakes and the shrimp pasta (with bacon!) the second dinner. Yum! Every bite was amazing! Salad dressing, grits, entrees and desserts. Great stuff! Thanks!",22,10,view review
43,,Virginia M.,24/10/18,,,,5,This is one of my most favorite restaurants. The food is always delicious and the service friendly. The rock fish is amazing!,8,,view review
44,,Irene T.,27/10/18,,,,5,"We had family and friends visiting from Houston, a big foodie town. We all had a great time at Duner's with wonderful service and amazing dishes. Everything we had was delicious - from soup, to appetizers, to salads, and main courses. They said, ""We definitely have to come back here next time we are in Charlottesville."" Thank you DUNER'S!",6,,view review
45,,M K.,15/11/18,,,4,3,"We were here for the first time for my husband's birthday. Although the food and the service was good, I felt the prices were overblown for what you get.
My husband ordered tuna I had beef brisket. For the serving I don't think my dish was worth $25. It really wasn't any better than the brisket you get at the Nook at half the price. This place is very popular and was crowded so other people must not feel as I do. It was also quite loud inside so if you are looking for a quiet, relaxing meal, this is probably not your place.",53,84,view review
46,,Anne C.,03/02/19,,,,5,"It is our absolute favorite restaurant. The food is amazing from the fresh ingredients in the cocktails, to the wine selection, to the homemade bread and salad dressings to the quality cuts of meat, and superb seafood. The desserts made by their pastry chef are incredible, too. Bob, the owner, and his staff are awesome. Reservations are recommended and can be made through Open Table.",29,,view review
47,,Shelby B.,28/03/19,,,3,5,"Wow. This place is amazing. Haven't eaten everywhere in Charlottesville, but I have to say, this place may be the best of all the places I have tried so far. From start to finish, the food was impeccable. Started the meal with warm bread and butter, always a lovely opening. The fried oysters were so juicy and perfectly seasoned, with a balancing and tasty, tangy aioli. Had seared rockfish with pesto gnocchi, roasted tomatoes and buttered corn purée as my entree.
Seriously, it was to die for. The fish was perfectly cooked and the dish had all the right notes. It was rich and filling, comforting and everything I needed in that moment. Husband had homemade fettuccini with duck meatballs and mushroom spinach cream sauce. Suuuuppppeerrrr delicious. Who knew that duck meatballs could be so perfect? 
Apparently Duner's, and they are doing it right. The atmosphere is comfortable, not stuffy, and the staff are very attentive, a total win-win. It was busy even on a Wednesday night though so I imagine it would be packed at peak times, but I would totally wait for it. Would 100% recommend and will be back!",45,1,view review
