,,Author,Date,Cool,Funny,Useful,Rating,Message,"Author Reviews","Author Friends","Author ID",Location,"Profile URL","Profile Photo",URL
11,,"Casey S.","2019-06-10 22:23:42",0,0,0,1,4,"The Local is truly a Charlottesville classic that is perfect for dinners out and hosting nice events, like my cousin's wedding rehearsal dinner and my sorority's semi formal. The service was professional and seemed well-equipped for catering and accommodating large groups.

The atmosphere is rustic while refined, and offers a beautiful selection of wine bars and an outdoor semi-covered rooftop terrace under string lights. The menu ranges from cheese boards and shared platters to fancier entrees and desserts. It's on the more expensive side and can get busy, but is great for a date night or more formal meal.",183,371,qdtA5TTtueNZZRNo28Ytig,"Arlington, VA",https://www.yelp.com/user_details?userid=qdtA5TTtueNZZRNo28Ytig,https://s3-media0.fl.yelpcdn.com/photo/_M1tL0c4wYqD7gHSQ-TVyg/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
12,,"Becca M.","2019-09-10 00:16:16",1,0,0,1,5,"The Local gives a taste of the best parts of Charlottesville. This Belmont spot is a great spot to take a first date, friends from out of town, or just anyone who likes a good meal. I have been twice and each time I've gotten with different people and we've all enjoyed the experience.

The staff is friendly, attentive, and they make great recommendations. We were unsure on which wine to split and our waiter spoke openly about which was what we were looking for without clearly encouraging us to only go for the most expensive bottles.

The top deck has great string lights which makes for a great atmosphere. Inside cleanliness and decor are top notch. They find a great mix of casual and formal. Wearing a dress or wearing jeans and a nice top both work for the atmosphere.

The food. That alone earns the five stars. The lobster Mac and cheese came highly recommended and when I say they don't skimp they definitely don't. I split a dinner portion with my friend and we still couldn't finish it all. It comes topped with cheese and such large chunks of lobster we found ourselves cutting it into smaller portions so we could enjoy more noodles. Another friend ordered the steak frites and the portion size was amazing. The best part about all our selections despite the large size the flavor was there. Our cocktails were delightful strong but not overwhelming. We ordered a banana split with there house made ice cream. It was delicious and definitely a shareable dessert.

One friend I've gone with is vegan and our waiter recommended the local roasted squash without cheese and we all ended up nibbling it because it was delicious! I would recommend this place with fighting colors.",41,17,db23gw3ONPtfOMy7nV2bDA,"Charlottesville, VA",https://www.yelp.com/user_details?userid=db23gw3ONPtfOMy7nV2bDA,https://s3-media0.fl.yelpcdn.com/photo/Y3wT7BTP__Ie4ka6LLHKcA/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
13,,"Tayo O.","2019-09-12 23:33:52",0,0,0,0,4,"Great ambience. I thought the food was yummy with really nice flavors. I got the Salmon and my wife got the short ribs. Their lemonade gin cocktail is 

I recommend this place for a nice date night. Seems they also have room for large groups",19,220,9ym3rwV0DiC82jW8j7irxw,"San Francisco, CA",https://www.yelp.com/user_details?userid=9ym3rwV0DiC82jW8j7irxw,https://s3-media0.fl.yelpcdn.com/photo/kvYbE7uJhXfc0vDXKJyZag/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
14,,"Jennifer F.","2019-09-13 20:56:44",0,0,0,0,4,"After a day traveling to Monticello and a tasting at the Jefferson Vineyards we were referred to Charlottesville to The Local. The restaurant was in a quaint part of town. Walking in to the restaurant you will notice local artwork and on the tables were these elegant glass candles. Almost looked as though they were handmade. 

We enjoyed the crab soup. It was a tomato based soup filled with plenty of crab. The Brussels and Cauliflower lightly seasoned and crispy, laid over a sirachi mayo sauce. Highly recommend them as an appetizer! 

My crab cakes and asparagus were a great choice. Highly recommended and would order again. I could do without the coleslaw! I am planning on returning to enjoy another delightful item on the menu!",20,13,m4K1ZQ3cLJJ4SBkVPDODyQ,"Inland, NE",https://www.yelp.com/user_details?userid=m4K1ZQ3cLJJ4SBkVPDODyQ,https://s3-media0.fl.yelpcdn.com/photo/w8kLw1l-RvskucO3sOonQg/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
15,,"Loren M.","2019-09-17 14:03:32",1,1,1,1,5,"We have been here now on two occasions. The first time Was not so busy and we were able to get a table. Both of our meals were delicious and the berry cobbler was amazing!

The second time was actually better than the first. They didn't have any tables but we sat at the bar which is probably why I enjoyed it so much. The bartender was absolutely amazing. He's very attentive even with having a bar full of customers. My boyfriend ended up not liking his drink, and he was super observant of this and offered him another drink So that my boyfriend had a drink that he enjoyed with his dinner. He made sure our glasses were always refilled, and brought our food to us promptly. We both ended up getting steak, mine was absolutely amazing and tender. Unfortunately we were too full for dessert on this occasion. The overall experience was absolutely wonderful and the food was amazing.
Sorry no pictures, with food and service that good who has the time.",73,4,4KwO72brj_Oy8frqKNdnXA,"Charlottesville, VA",https://www.yelp.com/user_details?userid=4KwO72brj_Oy8frqKNdnXA,https://s3-media0.fl.yelpcdn.com/photo/ax_r8Ht9HKpYd8s-edLPJg/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
16,,"Julia B.","2020-02-12 16:32:02",0,0,0,0,5,"Make reservations! Thankfully the bar was open so we sat there. Welcoming, cozy place. Food was amazing!! We ordered a bottle of wine but the amazing bartender gave us a sample of a different wine that paired much better!! So we ordered a glass of that too! 
On our visit we tried the cheese board, cauliflower and Brussels sprouts, squash, crab soup, short rib, pork belly, gnocchi. Everything was cooked and prepared very well! Shout out to our bartender for such a great experience!  Thanks Campbell!!",41,19,ZUxW0GGTfyYu0gAxZKWfvw,"Toledo, OH",https://www.yelp.com/user_details?userid=ZUxW0GGTfyYu0gAxZKWfvw,https://s3-media0.fl.yelpcdn.com/photo/lDKvvn0ed9SwlzGi9lLw5Q/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
17,,"Nishika R.","2020-03-02 18:05:31",0,1,1,1,4,"After looking into a few restaurants for my friend's birthday dinner in Charlottesville, we decided on The Local. When you walk in, you were welcomed into a restaurant with a cozy and calm ambience, complimented with a wooden floor and brick wall interior to create a ""homey feeling."" We were seated upstairs, which ended up being more spacious than we expected. For a Saturday night, this place was packed. It seemed to be a more family oriented restaurant based on the patrons this evening.

For the food, we decided to split the Fried Brussels and Cauliflower. Although the waitress recommended we get two, one plate was more than enough for the five of us. The cauliflower was cooked to perfection, but the brussels were not as tender as I expected. Also, there was flavor in this starter, I think there needed to be a counterpoint to it given it was just had a sharp tangy taste that lacked any sort of spice. 

Our entree orders: The Ceasar Salad was fairly standard, but the Goat Cheese salad was the perfect mix of ingredients created a sweet yet savory salad experience. Both had the right amount of dressing to not oversaturate the greens. Amazing pick. Another great option was the Gnocchi Bolognese. The gnocchi were melt in your mouth pillows saturated in a creamy meat sauce. The Truffle Mushroom Ragout was also drenched in creamy flavor, although it was a little bland (but to be expected based on the simple ingredients). The Veggie Burger, also fairly delicious, came with a whole appetizer size portion of burrata- it was incredible. The Duck Breast was incredibly succelent, and the only issue was that of the appetizier- the lack of tenderness in the brussel sprouts. 

As a tip, a couple of us just got the salads and a half portion of pasta thinking we might still be hungry, but honestly this amount was plenty and very cost effective.

All in all, you really get what you paid for here, as we all had some leftover food but were pretty stuffed towards the end of the meal. The waiters were attentive and helpful as well since we were new to the area/ restaurant and had a few questions while ordering. But, for the food, nothing really reinvented the wheel, but everything we got was solid so I have no complaints whatsoever.",122,622,1UkLhGJQ8qQgubUmPjRHCw,"Charlotte, NC",https://www.yelp.com/user_details?userid=1UkLhGJQ8qQgubUmPjRHCw,https://s3-media0.fl.yelpcdn.com/photo/8CeD70gGJmiiya7hVHMdwQ/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
18,,"Christina Z.","2020-05-29 00:01:52",1,1,1,1,5,"Update: If you're looking for good quality food made from local ingredients and that supports the community, highly recommend ordering curbside pickup from the Local! During COVID, they are running a Ten for $10 Menu that features classic American food and can even donate a $10 meal to someone who can not afford a meal in the community! The curbside set up is well-run - you call when you drive up and someone with gloves and mask will drop it into your car. 

Our favorite has been the mushroom pasta (we ordered it twice!); it is a nice blend of savory, buttery goodness. The fried chicken was not too heavily breaded, and the grilled hamburger steak was just a tad bit too salty for me. The 2 dishes came with mashed potatoes and green beans. Overall, a good deal for the price and quality of food! I miss the crispy shrimp and brussel sprouts/cauliflower plate on their original menu (previous review), but appreciate what they're doing during these times!",360,52,8QXAB1vREcnwBybGl6kelQ,"Tucson, AZ",https://www.yelp.com/user_details?userid=8QXAB1vREcnwBybGl6kelQ,https://s3-media0.fl.yelpcdn.com/photo/Gd7Ki5bQzEB_vNxVKnIREg/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
19,,"Lee Ann P.","2020-09-08 14:14:15",0,0,0,0,5,"We went here the last night and because of covid they are seating outside only, but they have made the patio very cute. The food was all amazing, especially the Brussels sprouts and cauliflower appetizer. They have an extensive wine selection and we enjoyed both bottles we got. Our waitress was very kind and attentive. I would definitely recommend this little spot if in town",180,16,j_DmjRHwsMCbZ0VIDx9JiA,"New Albany, OH",https://www.yelp.com/user_details?userid=j_DmjRHwsMCbZ0VIDx9JiA,https://s3-media0.fl.yelpcdn.com/photo/XE1ZWm7K85XXpCck-tvQaQ/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
20,,"Lyndsay A.","2020-09-28 21:41:52",0,0,0,2,5,"On Friday night, I dined at the local for a dinner as part of a bachelorette party! Our original plan was to eat outside, but due to weather, we were unable to do so. Thankfully, we had a reserved room as a backup plan and the ambiance ended up being perfect for the evening. We were treated to a beautiful wine cellar room. I cannot say enough good things about our experience.

First of all, there were 13 of us, and we had one server, who knocked it out of the park. She was amazing, patient, and accommodating! She made several recommendations, one of which I took for my meal. I ordered the gnocchi bolognese and it was one of the best pasta dishes I have ever had. The portions were large and the flavor was even bigger. I enjoyed it so much.

Thanks to our dinner here, the weekend kicked off on a great note and I think we all agree we would be back!",266,173,LaiylSIbrA3aPvOYtl-J4A,"Pittsburgh, PA",https://www.yelp.com/user_details?userid=LaiylSIbrA3aPvOYtl-J4A,https://s3-media0.fl.yelpcdn.com/photo/SxcfOFaqUTjHWpyxe1kLzw/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
21,,"Jessica M.","2020-10-10 00:52:04",0,0,0,0,5,"My fiancé and i came to the local tonight after hearing from friends how good the food is and it definitely did not disappoint! Our server, Shannon, was amazing! It seemed anytime i would finish my drink, she was right there to get me a new one. For starters we both order the crab soup which was absolutely delicious! For our entree's, i ordered the short rib which was definitely both off our favorite plate of the night. My fiancé got the meatloaf which I'm guessing must've been good because he cleared his plate in like 10 minutes! And lastly we shared the brownie Sunday. It was super good but the chocolate was very rich! All in all, we will definitely be eating here again!",62,9,hH6m6Hx94b5HciNucVM9MQ,"Richmond, VA",https://www.yelp.com/user_details?userid=hH6m6Hx94b5HciNucVM9MQ,https://s3-media0.fl.yelpcdn.com/photo/r7YMtMRZ-JJq9aij2LIDEQ/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
22,,"Stephanie J.","2020-10-21 01:00:42",3,2,2,5,4,"This place is only doing outside seating during COVID-19 so reservations are highly recommended. I started off with a cocktail, the farmer's tan and it was good. My husband and I decided to split a few things next, the crab soup, gnocchi bolognese and meatloaf. The portions were sizable. Our favorite thing was the meatloaf, it was amazing. It was wrapped in bacon, topped with a honey BBQ sauce and served with mashed potatoes and green beans. The Local is worth checking out for dinner.",2665,997,ePm0UDfRzThVIsIK5gSp1Q,"Holly Springs, NC",https://www.yelp.com/user_details?userid=ePm0UDfRzThVIsIK5gSp1Q,https://s3-media0.fl.yelpcdn.com/photo/_FOBOwfU9cQNG6ZqkPfsZQ/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
23,,"Megan K.","2020-11-30 15:34:25",1,0,0,0,5,"I was in Charlottesville for a weekend and came here for my birthday dinner. I started off with the Granada, a yummy blend of vodka and pomegranate. Then, I got the lobster Mac and cheese, which was heavenly. The Mac and cheese was so creamy and had several hearty chunks of lobster. I devoured it without any guilt. For dessert, I had the flourless chocolate cake. Super yummy and had raspberry sauce; I love chocolate and raspberry. This place had a cool atmosphere and amazing food",27,410,eWMUQBjsvE0mM_ALrrxNZw,"Park Crossing, Charlotte, NC",https://www.yelp.com/user_details?userid=eWMUQBjsvE0mM_ALrrxNZw,https://s3-media0.fl.yelpcdn.com/photo/jpubE6Ys6hfscUwvYIYALg/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
24,,"Jessi S.","2021-02-08 21:59:23",1,0,0,1,5,"This spot actually took me by surprise. The dishes are super flavorful with the perfect side accompaniments. The fried brussel sprout/cauliflower appetizer was aaaaamazing. The 3 of us basically fought over the pieces, smearing them against the delicious sauce. For entrees, we had the fried chicken, short rib, and pork chop. The pork chop was the unanimous favorite amongst all the plates. Each bite had a little fat with it to make it tasty, and I loved that it came with a big fat bone to gnaw on. The mac and cheese that came as a side with the chicken was also great, I would have definitely loved that as a meal on its own! Will consider that for next time!",437,386,LK2cFPrCgHc8shHfG1bN-w,"Baltimore, MD",https://www.yelp.com/user_details?userid=LK2cFPrCgHc8shHfG1bN-w,https://s3-media0.fl.yelpcdn.com/photo/vqfG8_H8_RZsAKzlPE1Uew/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
25,,"Carolina C.","2021-02-14 22:12:52",1,0,0,0,5,"The price for the quality of food at this restaurant is amazing! My go to picks are the roasted cauliflower & Brussel sprouts, gnocchi Bolognese, and salmon. The pastas are very affordable and they come in big portions! I also love the ambiance of this restaurant- cozy vibes and multiple separate rooms. Always leaving this place with a smile:)",34,76,gMVf4NPzZsByqYlhHaq9Nw,"Miami, FL",https://www.yelp.com/user_details?userid=gMVf4NPzZsByqYlhHaq9Nw,https://s3-media0.fl.yelpcdn.com/photo/A5q6OW5ELHPH_Oq6VzXmaQ/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
26,,"Alison W.","2021-03-11 02:22:58",1,0,0,0,5,"Was finally able to enjoy an in-person dining meal at The Local and ended up even more impressed! Their food is very reasonably priced. I ordered the steak frites, and my NY strip was a perfect medium rare and the fries were just the right amount of crisp. My husband had the fried chicken which came with collard greens and the pimento mac and cheese, and it was a wonderfully well-rounded meal. Service was excellent and they are very cautious of covid restrictions.",174,251,V_4UqBlKHOnNCVqkAgGt3Q,"Charlottesville, VA",https://www.yelp.com/user_details?userid=V_4UqBlKHOnNCVqkAgGt3Q,https://s3-media0.fl.yelpcdn.com/photo/60MQATizsXwnEp9nW4ZBYA/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
27,,"Brooke W.","2021-06-15 13:48:14",0,0,0,1,5,"My wife and I came here after we got married! Awesome Farm to Table restaurant with great wine and drinks. The ambiance was rustic but still open and had good lighting up stairs with the glass windows. Creeky wooden floor which gave this place a cool farmhouse/rustic/wine feel. The staff was great and friendly and our meal was served fast. We got the:

-Caromont Goat Cheese Salad (mixed greens, roasted butternut squash, roasted pumpkin seeds, and a pomegranate vinaigrette
-Truffled Mushroom Ragout (""Sharondale Farms"" shiitake, cremini, and oyster mushrooms, white truffle oil, and Parmesan cheese, tossed with fresh house made fettuccine (This was by far our favorite!)
-Mustard and Fennel Crusted Salmon (saffron-orange-black olive couscous, roasted broccolini, Moroccan-spiced aioli) This dish was so delicious and really different with the Moroccan-Spice Aioli
-House made blackberry cobbler (served hot with vanilla ice cream) I mean if you're going out you may as well add dessert am I right? This was SOO good. You're missing out if you don't partake in dessert from this place.",9,0,gz65a26leoi4l10k4CmQAQ,"Northwest, Virginia Beach, VA",https://www.yelp.com/user_details?userid=gz65a26leoi4l10k4CmQAQ,,https://www.yelp.com/biz/the-local-charlottesville?hrid=
28,,"Julie S.","2021-06-23 12:08:53",1,0,0,1,5,"I absolutely loved this place. 

The space upstairs was beautiful open porch with giant windows, plants hanging overhead and it was perfect for a summer night. 

Our waitress Stella took good care of us. We started immediately with fried cauliflower and Brussel sprouts. Yum! 

Our drinks were amazing -- Granada and mojito. The mojito was in a mason jar and mine in a fun glass too. 

Our the main dishes, the meatloaf was delicious. My friend had the trout. It was lightly fried so it was crispy, but not heavily battered. The presentation of both were great too. 

The gluten free chocolate dessert has candies oranges and raspberry sauce and it was so tasty. I asked for ice cream in addition to the whipped cream that it came with and Stella said it would be an up charge -- I just didn't think it would $4! Oops. Oh well, it's vacation!",640,436,fPxE0VgahKU0Xh6YQt2-Kw,"Charlotte, NC",https://www.yelp.com/user_details?userid=fPxE0VgahKU0Xh6YQt2-Kw,https://s3-media0.fl.yelpcdn.com/photo/JnbUiZZbRqzzz0N6AOJCug/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
29,,"Jess S.","2021-07-06 07:34:31",0,0,0,0,5,"As we travelled through VA coming from Monticello my friend and I stopped by this hidden gem. 

Absolutely the best meal I've had all week long. Sooo tasty, great quality, speedy service, hearty portions impeccable service. 
I ordered the crispy shrimp, freshly made gnocchi bolognese, blackberry cobbler, house made lemonade and the Songbird cocktail. My friend ordered the caprese, meatloaf, strawberry cheesecake and a Belmont Lemonade cocktail. 
The food order came out very shortly after placing the orders. And the drinks were not only tasty but very pretty in presentation. Great Bartender!!!!!
We definitely will be returning.",16,0,r1FLa9nFc4jtqT2Z5Mf61g,"Gaithersburg, MD",https://www.yelp.com/user_details?userid=r1FLa9nFc4jtqT2Z5Mf61g,https://s3-media0.fl.yelpcdn.com/photo/ZnJtQaCL0PEtznh3-tAeLw/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
30,,"Chanel G.","2021-07-29 13:39:50",0,0,0,0,4,"Normalize #dessert before #dinner!‍ holler if your with us!!! Because hunnnyyyy, this #peanutbutterbrownies with ice cream on top had us feeling all the feels!

While on the Charlottesville trip (Chanel went there & Alicia was in Philly, hence the back and forth posts) we visited a cute restaurant called @thelocalcville and it was TASTY, especially after a day of wine drinking! 

:

Brownie Sundae - peanut butter chocolate brownies topped with house made vanilla bean ice cream and hot fudge

Fresh #Burrata

Local ""Double H Farm"" Berkshire Pork Chop † - Chili rubbed, grilled and served with mashed potatoes, shoestring sweet potatoes, and a chipotle adobo gravy

Local ""Buffalo Creek Beef"" Short Ribs - braised with red wine and veal stock, served with mashed potatoes, glazed carrots, and pearl onions",209,71,UBX_rdHpGbxjWwboedVc7g,"Washington, DC",https://www.yelp.com/user_details?userid=UBX_rdHpGbxjWwboedVc7g,https://s3-media0.fl.yelpcdn.com/photo/_AN0NYxHtma95ok9itgvVw/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
